瘤痢,瘤痢疙,老矫,扁柯(∑C),浅加(m/s),嚼档(%),老炼(hr),老荤(MJ/m2),傈款樊(10盒困),吝窍摸款樊(10盒困)
156,堡林,2021-01-01 0:00,-1.8,1.3,79,,,8,8
156,堡林,2021-01-01 1:00,-2.9,1.1,83,,,3,3
156,堡林,2021-01-01 2:00,-2.9,1,81,,,8,8
156,堡林,2021-01-01 3:00,-2.8,0.1,86,,,9,9
156,堡林,2021-01-01 4:00,-2.9,0.7,87,,,8,8
156,堡林,2021-01-01 5:00,-4.1,1.3,93,,,3,3
156,堡林,2021-01-01 6:00,-4.8,1,92,,,3,3
156,堡林,2021-01-01 7:00,-4.3,0.5,94,,,8,8
156,堡林,2021-01-01 8:00,-3.9,0.2,95,0,0.06,9,9
156,堡林,2021-01-01 9:00,-3,0.6,95,0.1,0.19,7,7
156,堡林,2021-01-01 10:00,-2.5,0.3,93,0.1,0.33,7,7
156,堡林,2021-01-01 11:00,-0.9,0.3,86,0.4,0.66,8,8
156,堡林,2021-01-01 12:00,0.4,0.9,79,0.8,1.73,7,7
156,堡林,2021-01-01 13:00,1.5,0.8,74,0.7,1.75,7,7
156,堡林,2021-01-01 14:00,1.7,2.2,74,0.9,1.7,6,6
156,堡林,2021-01-01 15:00,2.8,1.5,70,0.7,1.42,7,7
156,堡林,2021-01-01 16:00,2.4,0.9,63,0.4,0.73,5,5
156,堡林,2021-01-01 17:00,2.1,1,67,0.2,0.35,8,8
156,堡林,2021-01-01 18:00,1.1,1.1,78,0,0.08,7,7
156,堡林,2021-01-01 19:00,1.5,1.1,72,,,9,8
156,堡林,2021-01-01 20:00,1.8,1,68,,,8,8
156,堡林,2021-01-01 21:00,1.1,0.9,76,,,8,8
156,堡林,2021-01-01 22:00,0.8,0.7,84,,,8,8
156,堡林,2021-01-01 23:00,0.7,1.1,87,,,9,6
156,堡林,2021-01-02 0:00,0.7,0.6,89,,,10,8
156,堡林,2021-01-02 1:00,0.2,0.2,95,,,8,8
156,堡林,2021-01-02 2:00,0.1,0,97,,,8,6
156,堡林,2021-01-02 3:00,-0.1,0.4,98,,,10,8
156,堡林,2021-01-02 4:00,0.2,0.2,98,,,10,8
156,堡林,2021-01-02 5:00,0,0.1,98,,,8,8
156,堡林,2021-01-02 6:00,0.1,0.1,98,,,10,8
156,堡林,2021-01-02 7:00,0,0.8,98,,,10,8
156,堡林,2021-01-02 8:00,-0.5,2.4,97,0,0.07,10,5
156,堡林,2021-01-02 9:00,-0.3,2.3,94,0.4,0.25,8,8
156,堡林,2021-01-02 10:00,0.7,2.1,79,1,0.85,5,5
156,堡林,2021-01-02 11:00,1.4,2.4,64,1,1.77,0,0
156,堡林,2021-01-02 12:00,1.5,2.4,55,1,1.87,2,2
156,堡林,2021-01-02 13:00,2.2,3.3,48,1,2.14,3,3
156,堡林,2021-01-02 14:00,2.5,2.7,46,1,2.01,1,1
156,堡林,2021-01-02 15:00,2.4,3.2,38,1,1.71,0,0
156,堡林,2021-01-02 16:00,1.7,3.6,33,1,1.22,0,0
156,堡林,2021-01-02 17:00,0.2,1.6,41,1,0.56,0,0
156,堡林,2021-01-02 18:00,-0.6,1.7,48,0.2,0.09,0,0
156,堡林,2021-01-02 19:00,-1,2.5,51,,,0,0
156,堡林,2021-01-02 20:00,-1.9,2.6,54,,,0,0
156,堡林,2021-01-02 21:00,-2.3,2.3,54,,,0,0
156,堡林,2021-01-02 22:00,-2.6,2.3,55,,,0,0
156,堡林,2021-01-02 23:00,-3.1,1.6,58,,,0,0
156,堡林,2021-01-03 0:00,-2.9,1.1,57,,,0,0
156,堡林,2021-01-03 1:00,-2.6,0.9,56,,,10,0
