瘤痢,瘤痢疙,老矫,啊炼矫埃(hr),钦拌 老炼矫埃(hr),钦拌 老荤樊(MJ/m2)
156,堡林,2021-01-01,9.8,4.3,9
156,堡林,2021-01-02,9.9,8.6,12.54
156,堡林,2021-01-03,9.9,6.1,10.37
156,堡林,2021-01-04,9.9,5.8,10.07
156,堡林,2021-01-05,9.9,3,7.74
156,堡林,2021-01-06,9.9,6.9,10.95
156,堡林,2021-01-07,9.9,0,5.16
156,堡林,2021-01-08,9.9,8,12.15
156,堡林,2021-01-09,10,8.9,13.02
156,堡林,2021-01-10,10,3.2,9.5
156,堡林,2021-01-11,10,0.1,5.82
156,堡林,2021-01-12,10,5.3,10.78
156,堡林,2021-01-13,10,8.1,11.74
156,堡林,2021-01-14,10,8.5,12.16
156,堡林,2021-01-15,10.1,2.2,7.46
156,堡林,2021-01-16,10.1,2.4,7.43
156,堡林,2021-01-17,10.1,9.1,13.86
156,堡林,2021-01-18,10.1,2.9,5.69
156,堡林,2021-01-19,10.1,9.4,14.39
156,堡林,2021-01-20,10.2,8.8,13.68
156,堡林,2021-01-21,10.2,2.5,5.47
156,堡林,2021-01-22,10.2,0,4.14
156,堡林,2021-01-23,10.2,0,3.29
156,堡林,2021-01-24,10.3,8.4,12.93
156,堡林,2021-01-25,10.3,9.2,13.75
156,堡林,2021-01-26,10.3,0.1,3.79
156,堡林,2021-01-27,10.4,7.9,14.25
156,堡林,2021-01-28,10.4,3.6,6.84
156,堡林,2021-01-29,10.4,9,15.34
156,堡林,2021-01-30,10.4,4.9,9.81
156,堡林,2021-01-31,10.5,7.1,11.52
156,堡林,2021-02-01,10.5,0,4.36
156,堡林,2021-02-02,10.5,9.6,16.45
156,堡林,2021-02-03,10.6,8.9,16.03
156,堡林,2021-02-04,10.6,9.9,16.67
156,堡林,2021-02-05,10.6,3.8,11.02
156,堡林,2021-02-06,10.6,1.1,6.55
156,堡林,2021-02-07,10.7,8.6,14.14
156,堡林,2021-02-08,10.7,9.8,17.29
156,堡林,2021-02-09,10.7,9.9,17.32
156,堡林,2021-02-10,10.8,9.2,15.93
156,堡林,2021-02-11,10.8,2.1,10.21
156,堡林,2021-02-12,10.8,8.8,15.04
156,堡林,2021-02-13,10.9,9.9,16.83
156,堡林,2021-02-14,10.9,1,7.98
156,堡林,2021-02-15,10.9,2.8,7.26
156,堡林,2021-02-16,11,7,13.96
156,堡林,2021-02-17,11,1.6,6.82
156,堡林,2021-02-18,11,6.1,9.52
156,堡林,2021-02-19,11.1,9.9,18.39
156,堡林,2021-02-20,11.1,9.6,16.01
156,堡林,2021-02-21,11.1,10.2,17.9
156,堡林,2021-02-22,11.2,9.9,16.61
156,堡林,2021-02-23,11.2,9.4,16.24
156,堡林,2021-02-24,11.2,0,5.49
156,堡林,2021-02-25,11.3,0,2.83
156,堡林,2021-02-26,11.3,7.3,15.45
156,堡林,2021-02-27,11.4,8.5,17.92
156,堡林,2021-02-28,11.4,0.4,6.06
156,堡林,2021-03-01,11.4,0,3.51
156,堡林,2021-03-02,11.5,6.9,15.61
156,堡林,2021-03-03,11.5,8.7,18.39
156,堡林,2021-03-04,11.5,0,5.31
156,堡林,2021-03-05,11.6,8.7,19.82
156,堡林,2021-03-06,11.6,6.5,14.83
156,堡林,2021-03-07,11.7,3,12.78
156,堡林,2021-03-08,11.7,8.8,19.79
156,堡林,2021-03-09,11.7,8.1,18.48
156,堡林,2021-03-10,11.8,10.4,20.71
156,堡林,2021-03-11,11.8,7.7,17.85
156,堡林,2021-03-12,11.8,0,6.05
156,堡林,2021-03-13,11.9,10.5,20.62
156,堡林,2021-03-14,11.9,9.9,20.73
156,堡林,2021-03-15,11.9,7.7,17.43
156,堡林,2021-03-16,12,10.3,21.36
156,堡林,2021-03-17,12,9.3,21.09
156,堡林,2021-03-18,12.1,10.7,21.93
156,堡林,2021-03-19,12.1,7.5,18.9
156,堡林,2021-03-20,12.1,0,3.75
156,堡林,2021-03-21,12.2,6.6,17.19
156,堡林,2021-03-22,12.2,10.9,23.98
156,堡林,2021-03-23,12.2,11,22.66
156,堡林,2021-03-24,12.3,5.7,15.14
156,堡林,2021-03-25,12.3,11.2,23.73
156,堡林,2021-03-26,12.4,10.9,21.84
