瘤痢	瘤痢疙	老矫	老炼(hr)	老荤(MJ/m2)		
156	堡林	21-8-14 6:00	0	0.06	3.4	15.5
156	堡林	21-8-14 7:00	0	0.1		
156	堡林	21-8-14 8:00	0	0.26		
156	堡林	21-8-14 9:00	0	0.31		
156	堡林	21-8-14 10:00	0	0.72		
156	堡林	21-8-14 11:00	0	1.1		
156	堡林	21-8-14 12:00	0	1.69		
156	堡林	21-8-14 13:00	0.1	1.91		
156	堡林	21-8-14 14:00	0.8	2.62		
156	堡林	21-8-14 15:00	0.2	1.83		
156	堡林	21-8-14 16:00	0.5	1.6		
156	堡林	21-8-14 17:00	0.6	1.61		
156	堡林	21-8-14 18:00	1	1.25		
156	堡林	21-8-14 19:00	0.2	0.37		
156	堡林	21-8-14 20:00	0	0.07		
156	堡林	21-8-15 6:00	0	0.06	5.6	16.53
156	堡林	21-8-15 7:00	0.1	0.22		
156	堡林	21-8-15 8:00	0.4	0.69		
156	堡林	21-8-15 9:00	0.8	1.27		
156	堡林	21-8-15 10:00	1	2.07		
156	堡林	21-8-15 11:00	1	2.39		
156	堡林	21-8-15 12:00	0.7	2.5		
156	堡林	21-8-15 13:00	0.3	1.65		
156	堡林	21-8-15 14:00	0.6	2.35		
156	堡林	21-8-15 15:00	0.7	2.38		
156	堡林	21-8-15 16:00	0	0.44		
156	堡林	21-8-15 17:00	0	0.2		
156	堡林	21-8-15 18:00	0	0.16		
156	堡林	21-8-15 19:00	0	0.1		
156	堡林	21-8-15 20:00	0	0.05		
156	堡林	21-8-16 6:00	0	0.05	2.7	4.29
156	堡林	21-8-16 7:00	0.5	0.29		
156	堡林	21-8-16 8:00	1	0.97		
156	堡林	21-8-16 9:00	1	1.72		
156	堡林	21-8-16 17:00	0	0.5		
156	堡林	21-8-16 18:00	0.2	0.5		
156	堡林	21-8-16 19:00	0	0.2		
156	堡林	21-8-16 20:00	0	0.06		
