,date_num,holi_flag,eve_holi_flag,week_flag,eve_week_flag,miss_flag_net,miss_flag_pv,miss_intersection,miss&week
210101,1,1,1,0,0,0,0,0,1
210102,2,1,1,0,0,0,0,0,1
210103,3,1,0,0,1,0,0,0,1
210104,4,0,0,1,1,0,0,0,0
210105,5,0,0,1,1,0,0,0,0
210106,6,0,0,1,1,0,0,0,0
210107,7,0,0,1,1,0,0,0,0
210108,8,0,1,1,0,0,0,0,0
210109,9,1,1,0,0,0,0,0,1
210110,10,1,0,0,1,0,0,0,1
210111,11,0,0,1,1,0,0,0,0
210112,12,0,0,1,1,0,0,0,0
210113,13,0,0,1,1,0,0,0,0
210114,14,0,0,1,1,0,0,0,0
210115,15,0,1,1,0,0,0,0,0
210116,16,1,1,0,0,0,0,0,1
210117,17,1,0,0,1,0,0,0,1
210118,18,0,0,1,1,1,0,1,1
210119,19,0,0,1,1,0,0,0,0
210120,20,0,0,1,1,0,0,0,0
210121,21,0,0,1,1,0,0,0,0
210122,22,0,1,1,0,0,0,0,0
210123,23,1,1,0,0,0,0,0,1
210124,24,1,0,0,1,0,0,0,1
210125,25,0,0,1,1,0,0,0,0
210126,26,0,0,1,1,0,0,0,0
210127,27,0,0,1,1,0,0,0,0
210128,28,0,0,1,1,1,0,1,1
210129,29,0,1,1,0,0,0,0,0
210130,30,1,1,0,0,0,0,0,1
210131,31,1,0,0,1,1,0,1,1
210201,32,0,0,1,1,1,0,1,1
210202,33,0,0,1,1,0,0,0,0
210203,34,0,0,1,1,0,0,0,0
210204,35,0,0,1,1,0,0,0,0
210205,36,0,1,1,0,0,0,0,0
210206,37,1,1,0,0,0,0,0,1
210207,38,1,0,0,1,0,0,0,1
210208,39,0,0,1,1,0,0,0,0
210209,40,0,0,1,1,0,0,0,0
210210,41,0,1,1,0,0,0,0,0
210211,42,1,1,0,0,0,0,0,1
210212,43,1,1,0,0,0,0,0,1
210213,44,1,1,0,0,0,0,0,1
210214,45,1,0,0,1,0,0,0,1
210215,46,0,0,1,1,0,0,0,0
210216,47,0,0,1,1,0,0,0,0
210217,48,0,0,1,1,0,0,0,0
210218,49,0,0,1,1,0,0,0,0
210219,50,0,1,1,0,0,0,0,0
210220,51,1,1,0,0,0,0,0,1
210221,52,1,0,0,1,1,0,1,1
210222,53,0,0,1,1,0,0,0,0
210223,54,0,0,1,1,0,0,0,0
210224,55,0,0,1,1,0,0,0,0
210225,56,0,0,1,1,0,0,0,0
210226,57,0,1,1,0,0,0,0,0
210227,58,1,1,0,0,0,0,0,1
210228,59,1,0,0,1,1,0,1,1
210301,60,0,0,1,1,0,0,0,0
210302,61,0,0,1,1,0,0,0,0
210303,62,0,0,1,1,0,0,0,0
210304,63,0,0,1,1,0,0,0,0
210305,64,0,1,1,0,0,0,0,0
210306,65,1,1,0,0,0,0,0,1
210307,66,1,0,0,1,0,0,0,1
210308,67,0,0,1,1,0,0,0,0
210309,68,0,0,1,1,0,0,0,0
210310,69,0,0,1,1,0,0,0,0
210311,70,0,0,1,1,0,0,0,0
210312,71,0,1,1,0,0,0,0,0
210313,72,1,1,0,0,0,0,0,1
210314,73,1,0,0,1,0,0,0,1
210315,74,0,0,1,1,0,0,0,0
210316,75,0,0,1,1,0,0,0,0
210317,76,0,0,1,1,0,0,0,0
210318,77,0,0,1,1,0,0,0,0
210319,78,0,1,1,0,0,0,0,0
210320,79,1,1,0,0,0,0,0,1
210321,80,1,0,0,1,0,0,0,1
210322,81,0,0,1,1,0,0,0,0
210323,82,0,0,1,1,0,0,0,0
210324,83,0,0,1,1,0,0,0,0
210325,84,0,0,1,1,0,0,0,0
210326,85,0,1,1,0,0,0,0,0
210327,86,1,1,0,0,0,0,0,1
210328,87,1,0,0,1,0,0,0,1
210329,88,0,0,1,1,0,0,0,0
210330,89,0,0,1,1,0,0,0,0
210331,90,0,0,1,1,1,0,1,1
210401,91,0,0,1,1,0,0,0,0
210402,92,0,1,1,0,0,0,0,0
210403,93,1,1,0,0,0,0,0,1
210404,94,1,0,0,1,0,0,0,1
210405,95,0,0,1,1,0,0,0,0
210406,96,0,0,1,1,0,0,0,0
210407,97,0,0,1,1,0,0,0,0
210408,98,0,0,1,1,0,0,0,0
210409,99,0,1,1,0,0,0,0,0
210410,100,1,1,0,0,0,0,0,1
210411,101,1,0,0,1,0,0,0,1
210412,102,0,0,1,1,0,0,0,0
210413,103,0,0,1,1,0,0,0,0
210414,104,0,0,1,1,0,0,0,0
210415,105,0,0,1,1,0,0,0,0
210416,106,0,1,1,0,0,0,0,0
210417,107,1,1,0,0,0,0,0,1
