,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
210104,139.0,130.4,115.5,101.3,119.0,97.5,107.4,101.0,135.6,148.5,139.9,143.0,155.5,156.60000000000002,140.5,107.7,117.0,125.0,149.4,148.3,146.3,157.3,157.9,150.3
210105,138.9,126.5,117.0,108.7,117.7,104.3,114.0,99.9,128.5,135.20000000000002,160.29999999999998,152.79999999999998,145.5,134.7,154.0,128.8,125.2,144.9,155.9,146.4,150.8,154.4,154.6,167.2
210106,166.0,169.8,146.2,125.0,124.2,117.0,109.7,117.2,138.2,142.2,154.70000000000002,159.0,148.0,150.1,164.8,164.70000000000002,154.8,137.9,180.7,160.0,179.2,178.7,176.4,160.1
210107,174.1,161.8,146.2,148.9,140.5,147.2,152.4,119.4,131.4,136.1,132.8,137.7,156.2,152.5,139.6,121.1,158.0,163.8,175.9,165.8,173.5,177.5,176.6,178.2
210108,172.3,162.7,135.1,142.4,130.1,136.6,121.7,137.7,143.2,149.5,157.8,159.29999999999998,156.1,153.9,159.70000000000002,169.8,163.1,164.8,185.6,180.5,178.3,188.8,202.9,188.1
210111,202.4,186.3,140.9,139.8,123.3,121.3,129.5,125.0,152.3,169.1,169.2,159.4,177.5,152.0,157.0,147.7,152.1,142.3,173.9,170.0,183.6,174.4,189.7,185.1
210112,180.5,176.2,162.1,159.9,153.1,145.4,148.5,152.0,144.6,181.8,154.79999999999998,151.5,155.8,157.9,170.8,142.7,137.9,157.1,167.0,187.3,179.3,200.6,174.9,185.4
210113,197.5,169.7,153.4,135.1,137.4,134.0,129.7,138.9,141.8,147.8,164.8,166.20000000000002,151.6,151.4,154.5,148.9,144.8,155.8,199.4,165.3,175.9,166.8,158.0,162.3
210114,158.1,159.2,143.5,138.7,138.3,145.2,129.2,146.6,137.3,161.1,149.1,154.4,153.0,157.3,154.7,148.4,149.79999999999998,133.1,156.5,150.3,159.2,155.3,164.7,159.2
210115,173.6,158.2,151.0,143.5,136.6,127.5,153.0,134.5,138.7,145.6,149.6,135.3,150.4,136.4,141.3,133.6,140.5,135.6,155.8,155.8,165.3,163.1,141.2,160.4
210119,185.2,191.4,137.9,148.3,149.6,138.6,142.1,128.6,146.1,149.10000000000002,170.60000000000002,173.6,159.1,150.10000000000002,144.9,163.0,153.6,159.6,155.9,163.4,151.7,162.7,166.3,183.9
210120,157.3,148.5,135.7,120.6,138.2,115.4,129.7,123.9,143.1,156.5,148.1,168.1,150.0,163.10000000000002,147.6,155.6,139.5,158.6,163.1,160.0,161.8,168.1,154.7,153.9
210121,151.4,140.8,132.5,117.1,111.1,114.1,109.1,109.4,125.0,140.7,136.6,137.0,144.4,138.0,134.2,147.9,131.0,149.1,160.6,140.6,147.9,160.4,155.5,157.1
210122,151.6,145.7,133.7,123.0,114.3,115.8,109.8,102.6,113.7,148.0,126.8,130.2,140.70000000000002,148.5,126.89999999999999,127.8,127.4,157.3,154.4,137.6,143.4,160.4,152.7,149.0
210125,159.9,150.2,124.3,120.7,114.5,112.2,106.6,100.9,136.9,129.9,138.3,145.1,133.4,144.5,139.0,133.8,127.9,133.8,152.7,145.5,145.7,158.9,167.2,154.2
210126,152.4,143.9,117.6,117.2,124.1,120.9,103.0,113.9,119.1,132.0,122.1,131.0,137.6,127.10000000000001,138.6,139.7,133.0,137.5,149.9,151.8,176.1,155.6,150.5,147.0
210127,133.7,143.4,132.4,134.0,124.3,112.8,104.9,114.4,122.89999999999999,134.1,133.8,138.8,145.0,149.9,144.3,147.4,122.5,145.8,141.6,144.5,149.8,163.1,154.0,160.6
210129,163.4,150.2,141.7,130.2,124.9,126.2,110.3,101.9,132.79999999999998,145.5,137.0,147.5,142.6,143.3,143.3,150.5,157.0,163.5,153.0,151.1,149.6,164.2,187.0,154.9
210202,143.0,133.8,132.3,124.4,114.8,115.2,116.5,121.9,117.5,134.8,135.0,152.2,165.2,141.4,146.9,142.6,138.8,134.9,154.2,155.1,162.4,162.6,158.0,159.0
210203,130.5,147.3,138.3,119.9,116.7,119.5,109.9,109.5,132.79999999999998,136.4,153.20000000000002,135.4,164.10000000000002,147.0,145.2,143.9,140.0,126.0,151.5,164.8,161.7,174.5,165.6,158.7
210204,157.2,157.7,129.9,145.4,122.9,114.7,114.5,114.0,123.6,138.1,155.7,153.2,152.2,154.4,147.7,153.4,132.5,134.9,172.7,161.8,160.2,169.7,167.1,181.5
210205,169.8,163.5,137.8,133.7,123.3,135.8,109.3,105.8,123.60000000000001,133.1,138.8,160.7,147.5,130.6,126.39999999999999,126.7,130.6,132.2,153.4,150.2,155.3,174.2,158.5,158.8
210208,140.2,145.5,133.7,122.7,109.4,116.6,114.9,100.5,115.4,129.5,145.6,151.3,143.9,139.2,155.4,144.9,136.8,135.3,133.29999999999998,148.1,146.7,155.4,162.5,163.0
210209,167.5,143.7,145.1,113.0,118.8,112.0,106.9,125.2,123.8,149.60000000000002,145.3,135.3,145.8,136.7,140.89999999999998,148.6,146.6,136.3,153.2,147.0,142.7,138.2,145.3,140.0
210210,141.2,140.5,135.2,131.5,116.5,112.1,112.8,114.9,119.7,133.2,132.29999999999998,143.0,131.4,134.3,131.4,123.4,134.2,123.0,127.6,134.9,143.4,147.4,136.9,130.2
210215,145.4,125.4,117.9,115.4,97.8,112.6,94.6,113.9,124.5,147.7,131.70000000000002,126.80000000000001,137.20000000000002,125.10000000000001,127.5,122.4,132.0,135.10000000000002,178.7,155.5,161.8,178.2,160.2,164.5
210216,162.9,147.5,138.0,122.5,126.7,129.6,107.3,108.0,121.19999999999999,127.9,143.0,131.9,158.0,157.0,154.5,155.1,146.9,153.9,164.0,167.7,174.6,172.9,166.8,172.4
