,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
210104,331.0,294.9,311.9,340.2,336.9,308.1,280.7,342.3,346.90000000000003,313.9,317.2,274.7,320.3,285.7,355.9,352.70000000000005,352.0,343.3,323.4,309.7,294.1,269.2,328.6,326.7
210105,289.6,295.6,333.5,296.3,294.3,276.7,317.5,284.2,275.8,315.0,309.2,337.5,291.90000000000003,315.7,353.6,342.2,381.6,349.4,328.0,322.8,345.1,314.2,329.1,333.1
210106,337.6,298.5,304.9,301.7,296.4,282.4,315.2,329.0,320.9,311.7,289.3,324.0,274.2,245.9,307.5,338.5,363.1,360.9,373.8,310.5,311.1,333.9,328.3,326.2
210107,318.1,341.4,336.2,311.9,326.9,328.9,318.3,299.3,341.2,373.9,340.9,345.3,354.40000000000003,359.0,357.2,344.20000000000005,367.4,301.0,282.8,355.1,342.3,301.3,334.9,336.8
210108,326.0,319.5,338.5,339.0,315.6,305.3,329.1,337.6,333.7,353.8,376.5,367.2,353.8,382.2,386.2,353.2,327.6,351.4,318.0,328.0,313.4,331.1,324.9,315.4
210111,323.2,320.8,307.6,305.4,300.2,324.3,272.6,312.0,323.5,334.0,312.3,315.8,311.8,323.7,314.2,354.1,339.29999999999995,340.1,320.4,302.0,293.6,293.8,322.0,324.8
210112,318.5,295.9,310.0,305.2,295.8,321.7,322.5,272.3,307.3,378.7,346.4,346.7,228.8,232.7,375.6,341.8,379.3,336.9,314.3,342.8,315.5,318.3,327.3,333.5
210113,299.4,287.3,301.4,307.0,303.5,280.2,295.0,332.9,326.0,309.3,294.7,243.8,234.8,263.2,280.4,296.3,324.40000000000003,360.6,324.4,295.1,299.2,307.4,290.6,298.4
210114,316.2,306.0,280.8,296.4,305.9,307.2,278.8,277.5,290.0,319.8,269.4,245.0,228.1,205.9,224.0,295.9,334.2,377.2,335.9,322.6,298.9,294.3,311.6,275.3
210115,289.0,309.9,316.7,303.4,287.7,310.0,302.4,293.9,306.9,340.1,295.2,281.0,358.79999999999995,322.90000000000003,348.90000000000003,305.5,397.4,364.7,309.0,310.2,317.3,305.7,297.9,300.1
210119,310.4,332.0,296.0,293.9,303.0,299.8,295.7,296.5,319.1,302.6,279.6,234.1,220.5,203.1,238.3,297.4,327.8,379.1,353.8,337.8,315.1,313.1,323.6,335.7
210120,305.9,296.4,320.9,319.9,299.4,313.6,321.1,325.7,297.2,321.1,278.3,208.3,170.39999999999998,197.6,281.2,270.6,383.8,366.8,359.6,338.1,309.9,365.5,333.8,330.2
210121,332.7,319.7,278.6,291.8,302.9,323.0,287.1,309.3,310.5,350.8,356.7,321.7,284.7,304.1,385.6,336.1,371.9,390.4,318.8,326.6,324.6,307.9,276.8,295.9
210122,308.1,265.9,295.6,323.3,312.0,309.6,293.2,296.7,346.4,376.8,357.5,344.4,392.3,355.5,354.6,375.4,374.7,353.1,314.3,359.9,343.8,330.0,345.4,361.7
210125,311.7,292.2,289.4,299.6,304.6,266.7,260.9,282.3,325.8,285.3,253.1,266.0,268.7,240.5,256.6,263.0,366.1,375.7,348.5,329.8,308.6,292.6,292.4,321.7
210126,299.7,289.4,311.2,313.8,296.9,288.5,304.2,322.6,323.7,385.1,359.20000000000005,347.2,358.6,340.90000000000003,389.2,321.6,380.1,385.1,377.8,362.2,355.9,353.7,354.2,306.4
210127,312.6,320.7,306.1,300.5,303.4,330.9,316.7,297.7,305.40000000000003,346.8,280.7,221.0,226.9,218.7,225.2,319.8,317.7,305.0,326.5,351.2,329.1,303.7,302.9,334.3
210129,344.0,331.5,325.4,323.8,303.5,358.6,366.2,306.8,322.1,393.8,317.3,226.1,336.0,287.6,263.3,266.0,406.7,352.3,360.8,348.8,323.6,305.3,343.0,353.9
210202,353.2,356.8,348.4,299.6,296.8,324.0,307.1,299.1,304.8,354.4,238.7,253.9,232.4,227.5,252.4,310.1,335.5,402.6,365.4,386.6,376.7,307.7,354.9,342.3
210203,351.8,343.5,302.8,322.0,321.9,307.5,289.2,333.4,304.6,328.9,310.5,237.3,240.9,236.8,272.6,321.6,369.7,401.9,380.4,360.5,340.8,339.0,348.0,329.2
210204,308.9,368.0,331.9,311.7,338.9,345.7,293.2,328.4,360.4,388.2,286.8,244.8,250.5,257.4,249.4,316.5,346.6,379.9,368.5,394.7,320.4,332.8,349.6,355.1
210205,330.9,333.6,341.0,358.2,345.4,322.8,317.8,337.5,322.8,338.40000000000003,348.4,317.0,251.3,259.8,352.7,331.40000000000003,329.0,319.1,341.9,339.2,350.6,345.6,367.7,328.7
210208,306.8,300.2,331.3,325.6,308.3,302.1,319.1,325.2,309.4,305.8,264.5,219.5,200.0,221.8,329.4,264.3,358.4,389.5,379.2,337.4,333.5,337.9,284.5,277.8
