,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,DS,SL,SR,TM_6,TM_9,TM_12,TM_15,TM_18,WS_6,WS_9,WS_12,WS_15,WS_18,SK_6,SK_9,SK_12,SK_15,SK_18,PP_6,PP_9,PP_12,PP_15,PP_18,PR_9,PR_15,PR_21
210105,138.9,126.5,117.0,108.7,117.7,104.3,114.0,99.9,128.5,135.20000000000002,160.29999999999998,152.79999999999998,145.5,134.7,154.0,128.8,125.2,144.9,155.9,146.4,150.8,154.4,154.6,167.2,9.9,3.0,7.74,0.0,-2.0,-2.0,-2.0,-5.0,2.4,1.1,2.5,6.0,6.6,4.0,4.0,4.0,4.0,4.0,30.0,30.0,30.0,60.0,80.0,0.0,1.0,5.0
210106,166.0,169.8,146.2,125.0,124.2,117.0,109.7,117.2,138.2,142.2,154.70000000000002,159.0,148.0,150.1,164.8,164.70000000000002,154.8,137.9,180.7,160.0,179.2,178.7,176.4,160.1,9.9,6.9,10.95,-7.0,-9.0,-11.0,-11.0,-14.0,6.5,4.3,2.3,2.1,2.9,4.0,4.0,4.0,4.0,4.0,90.0,90.0,90.0,90.0,80.0,5.0,10.0,5.0
210107,174.1,161.8,146.2,148.9,140.5,147.2,152.4,119.4,131.4,136.1,132.8,137.7,156.2,152.5,139.6,121.1,158.0,163.8,175.9,165.8,173.5,177.5,176.6,178.2,9.9,0.0,5.16,-7.0,-10.0,-12.0,-13.0,-13.0,3.7,1.3,1.3,1.6,2.2,4.0,1.0,1.0,3.0,4.0,30.0,10.0,10.0,60.0,60.0,0.0,1.0,1.0
210108,172.3,162.7,135.1,142.4,130.1,136.6,121.7,137.7,143.2,149.5,157.8,159.29999999999998,156.1,153.9,159.70000000000002,169.8,163.1,164.8,185.6,180.5,178.3,188.8,202.9,188.1,9.9,8.0,12.15,-3.0,-5.0,-10.0,-12.0,-10.0,4.7,4.9,1.9,1.3,1.5,3.0,4.0,1.0,1.0,1.0,20.0,30.0,10.0,10.0,0.0,0.0,0.0,0.0
210111,202.4,186.3,140.9,139.8,123.3,121.3,129.5,125.0,152.3,169.1,169.2,159.4,177.5,152.0,157.0,147.7,152.1,142.3,173.9,170.0,183.6,174.4,189.7,185.1,10.0,0.1,5.82,3.0,0.0,-2.0,-3.0,-3.0,2.5,1.4,1.5,1.5,1.4,4.0,4.0,4.0,3.0,3.0,30.0,30.0,30.0,10.0,20.0,0.0,0.0,0.0
210112,180.5,176.2,162.1,159.9,153.1,145.4,148.5,152.0,144.6,181.8,154.79999999999998,151.5,155.8,157.9,170.8,142.7,137.9,157.1,167.0,187.3,179.3,200.6,174.9,185.4,10.0,5.3,10.78,10.0,5.0,2.0,2.0,0.0,4.5,1.4,0.9,0.6,1.3,1.0,3.0,4.0,4.0,3.0,0.0,10.0,30.0,30.0,20.0,0.0,0.0,0.0
210113,197.5,169.7,153.4,135.1,137.4,134.0,129.7,138.9,141.8,147.8,164.8,166.20000000000002,151.6,151.4,154.5,148.9,144.8,155.8,199.4,165.3,175.9,166.8,158.0,162.3,10.0,8.1,11.74,11.0,5.0,3.0,4.0,4.0,3.8,2.4,3.8,3.4,2.2,1.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,20.0,30.0,0.0,0.0,0.0
210114,158.1,159.2,143.5,138.7,138.3,145.2,129.2,146.6,137.3,161.1,149.1,154.4,153.0,157.3,154.7,148.4,149.79999999999998,133.1,156.5,150.3,159.2,155.3,164.7,159.2,10.0,8.5,12.16,14.0,10.0,5.0,2.0,0.0,6.0,3.8,3.7,4.5,5.0,4.0,4.0,4.0,4.0,4.0,30.0,60.0,30.0,30.0,30.0,1.0,0.0,0.0
210115,173.6,158.2,151.0,143.5,136.6,127.5,153.0,134.5,138.7,145.6,149.6,135.3,150.4,136.4,141.3,133.6,140.5,135.6,155.8,155.8,165.3,163.1,141.2,160.4,10.1,2.2,7.46,0.0,-1.0,-3.0,-3.0,-4.0,6.5,4.2,4.1,3.8,2.7,3.0,4.0,4.0,4.0,4.0,20.0,30.0,30.0,30.0,60.0,0.0,0.0,1.0
210119,185.2,191.4,137.9,148.3,149.6,138.6,142.1,128.6,146.1,149.10000000000002,170.60000000000002,173.6,159.1,150.10000000000002,144.9,163.0,153.6,159.6,155.9,163.4,151.7,162.7,166.3,183.9,10.1,9.4,14.39,9.0,3.0,1.0,0.0,-1.0,3.1,1.7,2.7,2.4,2.0,1.0,3.0,4.0,3.0,4.0,0.0,20.0,30.0,20.0,30.0,0.0,0.0,0.0
210120,157.3,148.5,135.7,120.6,138.2,115.4,129.7,123.9,143.1,156.5,148.1,168.1,150.0,163.10000000000002,147.6,155.6,139.5,158.6,163.1,160.0,161.8,168.1,154.7,153.9,10.2,8.8,13.68,11.0,8.0,6.0,6.0,6.0,2.6,2.8,3.5,3.5,0.9,4.0,4.0,4.0,4.0,4.0,30.0,30.0,70.0,70.0,70.0,0.0,10.0,5.0
210121,151.4,140.8,132.5,117.1,111.1,114.1,109.1,109.4,125.0,140.7,136.6,137.0,144.4,138.0,134.2,147.9,131.0,149.1,160.6,140.6,147.9,160.4,155.5,157.1,10.2,2.5,5.47,11.0,10.0,7.0,6.0,6.0,2.3,1.8,1.9,1.8,1.3,4.0,4.0,4.0,4.0,4.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0
210122,151.6,145.7,133.7,123.0,114.3,115.8,109.8,102.6,113.7,148.0,126.8,130.2,140.70000000000002,148.5,126.9,127.8,127.4,157.3,154.4,137.6,143.4,160.4,152.7,149.0,10.2,0.0,4.14,12.0,10.0,8.0,7.0,6.0,2.5,2.3,1.8,1.9,2.1,4.0,4.0,4.0,4.0,4.0,80.0,80.0,30.0,30.0,30.0,5.0,0.0,0.0
210125,159.9,150.2,124.3,120.7,114.5,112.2,106.6,100.9,136.9,129.9,138.3,145.1,133.4,144.5,139.0,133.8,127.9,133.8,152.7,145.5,145.7,158.9,167.2,154.2,10.3,9.2,13.75,9.0,8.0,5.0,3.0,1.0,4.9,4.4,4.4,4.3,3.8,4.0,4.0,4.0,4.0,3.0,60.0,30.0,30.0,30.0,20.0,1.0,0.0,0.0
