,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,forcast_horizon
210104,879.6,906.7,902.6,866.7,821.9,869.8,853.7,893.9,1064.5,1110,1167.4,1178.8,1100.4,1127.2,1144.9,1109.3,1111.4,1101.6,1043.8,1016,975.6,979.7,982.6,933.4,0
210105,925.6,936.7,882.7,894.6,864.2,859.1,853.7,891.3,958,1092,1146.2,1178.2,1160.9,1189.5,1183.3,1183.1,1176,1150.8,1105.5,976.7,978.8,989.3,965.6,968.6,1
210106,941.6,938.5,908.3,922.8,889.1,909.2,890.2,958.8,1094.5,1179.1,1196.3,1207.3,1174.5,1186.4,1150.6,1128.4,1143.2,1150.4,1040.5,1043.8,1018.8,1017.6,978,958.3,1
210107,959.1,993.6,928.9,974.8,1028.6,985,971.7,1021.1,1077.4,1266.2,1377.2,1320,1329.8,1351.7,1351,1352.2,1358.4,1349.5,1279.1,1213.7,1264.2,1229,1223.8,1205.3,1
210108,1190.3,1182.8,1160.8,1122.6,1099.7,1116.8,1140.9,1152.3,1314.6,1387.3,1455.1,1433,1357,1370.9,1343.1,1316.1,1318.6,1346.2,1326,1207.8,1231.6,1258.3,1264.5,1202.8,1
210111,1071.3,1016.5,1006.8,990.2,1030.1,1014.6,1000.6,1076.4,1124.2,1287,1352.9,1327.4,1300,1257.4,1263.8,1280.8,1255.4,1257.7,1208.7,1144.6,1192.8,1164.9,1137.9,1139,3
210112,1103.9,1081.5,1096.5,1079.5,1086.8,1104.5,1103.5,1127.4,1216.1,1298.2,1319.8,1242.1,1215.8,1241.9,1159.6,1208.1,1173,1211.8,1166.4,1115.3,1106.4,1068.2,1115.4,1124.7,1
210113,1055.1,1057.3,1026,1018.3,1027.7,1050.4,1017.1,1067.4,1074,1154.3,1189.6,1136.7,1128.5,1109.9,1082.3,1028.6,1058,1069.6,1048.9,964.3,1009.2,958.1,995.7,971.6,1
210114,937.3,952.6,954.1,942.8,932.4,980,950.7,999,1050.5,1193.9,1168.7,1138.9,1099.3,1016.5,983.9,977,956.9,964.4,935,923.3,933.5,972,933.4,930.2,1
210115,893,889.9,920,891.7,877.7,878.3,886.6,883.3,971,1085.7,1084.4,984.5,983.8,943.8,946.9,917.6,923.9,880.8,881.3,863.3,858.3,832.6,861.5,849.4,1
210119,935,914.5,897.2,932,956.3,946.1,925.8,932,1061.7,1142.9,1165.1,1143.1,1111,1102.4,1068.9,1067.3,1050.7,1055.8,1034,992.2,1057.5,1029.6,1007.3,1007.8,4
210120,959.1,949.1,928.9,967.7,1002.9,921.4,948.7,977.3,1022.8,1106.6,1124.1,1076.2,1040.7,997.4,994.8,962.3,957.1,996,1004.6,946.7,928.9,916.3,923.3,923.8,1
210121,872,864.1,841.8,828.1,809.4,855.7,846.9,844.8,941.4,1025.4,1004.4,984.6,969,968.2,977.2,962.3,958.4,964.5,938.8,886.3,873.1,873.2,849.2,797.6,1
210122,838.6,802.5,764.1,769.8,787.8,760.4,770.8,786.6,855.8,913.6,916.9,901.8,930.2,924.6,927.2,947.1,941.9,918.7,901.6,861.7,859.3,826.1,814,805.8,1
210125,795.3,801.9,741.1,740.6,760.8,777.9,774.5,803.4,888.7,941.6,964,945.6,885.5,871,870.4,868.9,856.6,842.6,801.8,788,782.6,831.8,808.5,819,3
210126,759,745,748.4,712.3,701.5,726.2,754.2,785.6,857.2,920.4,961.7,985.1,965.1,967.3,979.7,946.8,936.5,932.7,884.5,837,843.7,856.6,838.5,815.3,1
210127,812.1,802.6,806,822.9,777.8,772.2,784.3,775.5,890.5,954.5,981.1,976.8,917.8,903.8,914.7,946.5,936.4,958.4,932,904.8,930,903.2,899.6,863.7,1
210129,920.5,965.9,898.3,923.7,913,939.1,933.1,933.9,1010.3,1081.7,1140.2,1089.8,1090.8,1111.1,1049.8,1073.1,1024.7,1030.9,987.9,967.9,939.9,939,958.8,949,2
210202,840.9,839.7,836.6,831,845.5,805.3,863.7,847.8,926.2,1079.6,1093.5,1057.1,1051,1020.3,1025.4,1059,1047.2,1017.8,996.5,993.4,977.7,947.5,946.8,905,4
210203,912.3,881.9,870.2,849.2,849.6,832.6,840.9,941.6,1044.6,1083.1,1078.2,1092.2,1023.5,981.4,966.1,986.8,969.1,998.8,971.3,931.8,910.9,933.8,887.9,855.5,1
210204,835.3,852.4,816.7,790.3,790.8,824.5,789.3,845.6,956.3,1061.5,1088.1,1023.9,1036.3,1028.7,1054.4,1001.3,993.7,1021.2,961.6,939.4,953.8,948.1,905.5,938.2,1
