,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
210101,426.5,413.4,406.0,423.6,416.8,399.2,406.5,393.8,420.7,416.9,408.9,431.9,406.8,393.5,397.3,385.1,417.0,422.0,437.8,406.0,425.1,410.6,406.2,392.7
210102,401.5,400.2,391.2,362.1,363.0,354.6,355.3,357.6,369.3,399.3,351.2,352.2,384.7,361.9,352.4,409.7,408.0,421.7,417.6,413.3,417.2,411.8,409.8,400.1
210103,410.7,412.3,403.5,405.5,409.7,394.5,396.2,374.9,413.5,369.9,395.8,386.3,370.9,388.6,404.4,408.8,436.6,434.3,432.4,439.0,425.6,410.7,430.3,407.4
210104,413.9,387.3,400.2,396.2,386.4,413.8,407.3,410.3,481.6,539.5,556.6,551.1,496.7,508.6,518.1,529.8,508.9,511.3,506.1,506.5,521.3,487.9,472.1,447.9
210105,437.8,434.7,414.4,423.4,415.3,382.9,404.7,401.0,420.3,495.4,522.4,538.0,532.7,548.2,527.7,572.6,532.9,526.6,532.3,504.2,487.0,486.5,485.8,461.8
210106,468.8,452.8,436.6,418.7,424.8,417.4,436.2,460.1,497.9,569.0,571.8,556.2,538.1,539.4,547.2,564.5,557.5,559.1,518.6,509.9,506.7,505.9,495.5,470.3
210107,477.2,462.4,460.5,436.4,465.8,476.3,458.4,464.4,496.0,590.9,667.5,649.8,629.1,634.5,643.1,644.4,669.1,675.9,633.5,606.4,655.0,657.4,645.7,631.8
210108,590.8,585.1,609.4,586.9,580.9,552.1,553.1,583.9,615.4,680.0,736.7,710.2,678.0,677.8,659.0,648.5,637.4,681.3,657.1,602.2,611.2,616.2,650.0,607.6
210109,592.6,583.5,560.7,561.5,572.2,548.5,546.1,552.7,590.3,571.8,542.4,518.1,509.2,486.9,470.2,504.1,502.2,546.7,554.3,585.9,522.6,554.4,526.6,561.5
210110,568.9,542.9,552.5,542.5,530.3,539.4,537.8,525.5,542.4,521.1,512.2,473.1,478.1,486.3,504.2,524.7,543.5,541.0,542.6,513.2,501.3,507.2,505.2,514.8
210111,513.9,506.3,501.1,459.9,469.6,468.8,460.3,519.6,565.6,638.2,716.7,636.8,635.3,641.6,628.2,623.1,610.5,641.1,584.2,570.6,608.5,588.0,561.1,548.1
210112,521.7,503.1,488.7,511.4,520.4,510.0,524.9,547.4,571.5,652.1,652.1,627.5,592.0,567.4,572.1,624.4,591.0,607.8,590.1,541.5,561.8,552.0,548.1,544.7
210113,524.8,515.5,490.5,504.8,495.5,487.9,494.1,509.2,537.6,587.6,581.7,570.3,590.9,566.7,545.5,519.3,557.4,547.5,537.5,506.4,541.5,493.7,501.2,504.2
210114,469.4,481.9,468.6,462.6,465.7,509.7,474.7,488.8,516.7,597.7,585.4,591.7,541.5,514.4,500.6,485.3,484.6,511.7,479.3,468.7,469.5,484.4,477.3,459.3
210115,466.9,434.4,465.2,454.9,431.3,433.3,454.4,418.1,496.4,548.9,529.7,503.7,496.6,463.6,468.0,457.2,455.6,449.0,461.2,436.4,405.6,428.0,423.5,416.4
210116,415.3,420.4,407.4,414.4,422.5,407.4,425.0,442.5,421.5,457.5,418.1,403.3,413.7,465.7,451.3,454.2,475.0,500.8,490.6,472.4,469.1,466.5,465.4,468.0
210117,446.2,457.3,462.8,433.1,424.0,434.1,404.4,431.1,442.5,433.5,434.7,413.0,389.6,416.9,455.6,445.6,464.1,530.8,506.5,494.9,526.4,512.7,489.6,472.3
210119,453.7,451.7,426.3,443.5,437.6,435.8,435.2,430.5,486.1,567.3,571.4,585.2,573.6,517.6,518.8,519.2,545.4,545.0,549.1,507.1,516.3,493.1,516.8,507.2
210120,467.4,478.9,452.2,430.1,465.5,459.8,485.2,451.8,477.6,541.8,561.8,558.9,498.7,485.7,494.1,488.2,487.2,538.7,519.6,496.6,464.7,469.1,458.2,483.2
210121,446.5,424.8,406.6,431.4,400.5,413.2,421.3,405.3,449.2,484.8,507.3,506.2,519.1,505.0,511.1,504.5,495.7,498.7,491.1,442.2,455.9,435.6,436.5,414.9
210122,416.1,398.4,392.7,361.6,367.5,368.8,388.9,394.9,424.2,464.0,474.6,456.2,477.8,480.8,478.5,490.0,477.1,473.3,454.9,454.0,417.9,409.3,386.4,369.5
210123,383.1,377.9,397.7,357.8,348.7,362.7,336.4,352.2,341.6,368.7,362.7,376.8,371.9,364.3,406.3,396.7,393.0,378.5,384.4,394.5,407.8,391.3,377.5,374.4
210124,378.1,382.5,368.5,345.5,348.6,344.1,336.9,348.3,366.2,350.7,353.3,341.0,329.3,353.7,371.7,396.3,381.9,385.1,399.6,398.8,391.0,403.7,387.7,372.4
210125,393.5,371.4,361.7,354.7,356.3,370.3,358.9,362.8,403.5,489.2,464.4,447.1,422.1,416.4,450.3,418.9,415.2,434.4,411.7,377.0,388.5,384.1,389.2,388.5
210126,356.7,375.9,374.8,343.5,334.8,338.6,347.4,379.2,392.6,460.1,471.2,500.0,504.6,482.0,491.7,474.5,479.7,460.7,446.0,413.1,442.1,412.8,400.8,378.8
210127,389.4,368.8,382.2,358.4,368.9,377.5,369.6,369.8,432.3,491.7,477.8,472.5,467.8,438.7,459.3,479.1,483.6,486.9,508.3,482.2,471.0,474.2,479.6,426.1
210129,461.9,466.8,446.8,438.7,427.9,446.2,451.6,440.0,464.7,518.6,559.5,540.2,507.4,537.9,527.6,523.5,504.8,523.1,509.3,483.3,506.3,462.8,456.8,489.8
210130,460.5,438.9,459.2,459.4,432.9,436.4,416.2,441.9,395.1,438.7,454.6,418.0,381.4,396.6,428.4,411.7,435.0,444.9,440.9,459.3,421.1,433.1,439.6,464.8
210202,420.2,429.0,413.8,421.2,442.4,390.1,405.6,388.1,438.6,542.1,534.5,509.9,494.7,507.7,507.5,526.7,513.3,517.1,501.5,485.7,485.6,445.5,459.3,440.7
210203,430.4,420.0,391.8,404.5,399.5,394.3,399.1,421.6,473.5,519.6,537.7,535.7,507.8,485.2,457.9,480.6,481.9,515.7,515.1,497.4,471.6,488.0,464.4,438.9
210204,438.1,429.0,405.6,417.8,391.5,407.6,407.0,438.6,468.4,540.0,552.7,489.5,502.4,498.5,475.5,482.1,474.6,501.7,508.4,488.2,474.7,481.8,450.2,449.7
210205,412.4,451.7,410.2,417.0,397.6,398.0,395.2,423.3,457.5,497.3,506.7,513.5,467.0,483.6,480.7,472.7,461.8,463.1,439.4,416.7,413.2,426.6,402.0,407.4
210206,388.5,381.1,389.7,394.9,389.1,367.2,368.2,380.6,383.2,389.2,376.4,382.3,377.7,367.7,408.0,391.1,389.2,386.0,390.4,385.5,396.6,395.0,388.2,396.4
210207,365.5,368.3,365.7,358.2,363.9,350.2,349.0,355.7,364.6,359.2,339.8,320.7,330.8,337.2,332.9,378.7,380.1,436.3,422.1,415.6,389.2,427.7,405.0,410.1
210208,411.6,390.1,382.2,371.3,390.4,367.7,362.6,371.0,412.8,514.0,522.7,499.1,500.0,498.9,491.0,488.5,496.4,515.4,518.7,485.9,462.6,463.9,431.7,437.2
