,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,load_flag
210101,903.5,886.1,906.2,881.3,900.3,885.2,885.6,867.1,894.6,897.3,882.3,880.2,858.4,835.1,831.2,857.9,881.0,893.2,901.6,868.4,849.3,883.2,841.0,856.8,1
210102,845.3,852.8,854.3,797.8,806.9,795.0,802.0,833.8,823.8,835.2,782.9,807.5,875.0,847.0,852.0,905.1,907.7,870.6,872.3,929.1,923.6,909.8,898.6,919.2,1
210103,874.1,894.2,910.5,882.1,911.1,876.2,854.1,832.9,837.5,821.3,887.9,817.2,830.7,811.8,852.3,868.8,900.4,935.9,884.2,923.4,929.2,889.2,893.5,893.2,1
210104,879.6,906.7,902.6,866.7,821.9,869.8,853.7,893.9,1063.9,1099.7,1144.8,1144.2,1061.4,1082.4,1103.2,1099.1,1105.6,1100.7,1043.8,1016.0,975.6,979.7,982.6,933.4,0
210105,925.6,936.7,882.7,894.6,864.2,859.1,853.7,891.3,957.4,1084.6,1114.3,1144.1,1149.4,1178.3,1159.4,1173.3,1168.5,1149.9,1105.5,976.7,978.8,989.3,965.6,968.6,0
210106,941.6,938.5,908.3,922.8,889.1,909.2,890.2,958.8,1094.0,1174.3,1176.7,1166.4,1137.6,1142.4,1108.5,1095.2,1121.3,1150.4,1040.5,1043.8,1018.8,1017.6,978.0,958.3,0
210107,959.1,993.6,928.9,974.8,1028.6,985.0,971.7,1021.1,1077.4,1265.7,1376.7,1319.5,1329.1,1351.0,1350.3,1351.6,1358.4,1349.0,1279.1,1213.7,1264.2,1229.0,1223.8,1205.3,0
210108,1190.3,1182.8,1160.8,1122.6,1099.7,1116.8,1140.9,1152.3,1314.6,1387.3,1454.2,1429.9,1353.0,1367.3,1342.3,1312.9,1317.2,1345.6,1326.0,1207.8,1231.6,1258.3,1264.5,1202.8,0
210109,1180.5,1160.6,1145.0,1151.3,1130.1,1124.2,1109.2,1156.1,1175.2,1208.3,1127.5,1088.8,1097.4,1010.0,969.0,1030.4,1054.8,1096.3,1161.5,1207.8,1166.6,1139.0,1173.2,1194.2,1
210110,1206.1,1183.3,1186.5,1196.2,1189.9,1158.2,1185.6,1167.5,1170.2,1110.0,1119.1,1064.1,1025.0,1048.8,1055.6,1063.0,1110.9,1112.4,1110.0,1093.0,1076.5,1103.9,1072.9,1065.4,1
210111,1071.3,1016.5,1006.8,990.2,1030.1,1014.6,1000.6,1076.4,1123.6,1278.8,1343.0,1307.4,1286.2,1243.5,1246.7,1268.7,1247.8,1256.7,1208.7,1144.6,1192.8,1164.9,1137.9,1139.0,0
210112,1103.9,1081.5,1096.5,1079.5,1086.8,1104.5,1103.5,1127.4,1216.1,1297.7,1317.2,1234.9,1183.2,1200.1,1122.4,1197.2,1165.5,1209.3,1166.4,1115.3,1106.4,1068.2,1115.4,1124.7,0
210113,1055.1,1057.3,1026.0,1018.3,1027.7,1050.4,1017.1,1067.4,1073.5,1145.8,1169.1,1104.6,1091.4,1071.2,1047.3,1000.0,1040.7,1064.8,1048.9,964.3,1009.2,958.1,995.7,971.6,0
210114,937.3,952.6,954.1,942.8,932.4,980.0,950.7,999.0,1049.9,1187.3,1146.6,1106.4,1059.9,975.5,946.4,946.5,937.5,959.4,935.0,923.3,933.5,972.0,933.4,930.2,0
210115,893.0,889.9,920.0,891.7,877.7,878.3,886.6,883.3,970.4,1080.8,1070.9,967.2,936.3,917.9,935.9,909.8,916.5,880.1,881.3,863.3,858.3,832.6,861.5,849.4,0
