,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
210101,903.5,886.1,906.2,881.3,900.3,885.2,885.6,867.0999999999999,894.6,897.3,882.3000000000001,880.2,858.4,835.1,831.1999999999999,857.9,881.0,893.2,901.6,868.4,849.3,883.2,841.0,856.8
210102,845.3,852.8,854.3000000000001,797.8,806.9,795.0,802.0,833.8,823.8000000000001,835.1999999999999,782.9,807.5,875.0,847.0,852.0,905.1,907.6999999999999,870.5999999999999,872.3,929.1,923.6,909.8000000000001,898.6,919.2
210103,874.1,894.1999999999999,910.5,882.0999999999999,911.1,876.1999999999999,854.1,832.9,837.5,821.3,887.9,817.2,830.6999999999999,811.8000000000001,852.3000000000001,868.8,900.4,935.9,884.2,923.4000000000001,929.2,889.1999999999999,893.5,893.2
210109,1180.5,1160.6,1145.0,1151.3,1130.1000000000001,1124.2,1109.1999999999998,1156.1000000000001,1175.2,1208.3,1127.5,1088.8,1097.4,1010.0,969.0,1030.4,1054.8,1096.3,1161.5,1207.8000000000002,1166.6,1139.0,1173.2,1194.2
210110,1206.1,1183.3,1186.5,1196.2,1189.9,1158.2,1185.6,1167.5,1170.2,1110.0,1119.1,1064.1000000000001,1025.0,1048.8,1055.6,1063.0,1110.8999999999999,1112.4,1110.0,1093.0,1076.5,1103.8999999999999,1072.9,1065.4
210116,845.9,824.4,835.7,829.7,843.1,823.5,866.0,839.6,864.1999999999999,919.8,899.7,811.0,848.4,915.4,898.9,957.2,956.6999999999999,965.9,984.5,952.1,990.0,981.7,967.6999999999999,962.4
210117,938.9000000000001,919.7,964.9,917.1,884.8,889.9,894.0,928.4000000000001,970.2,891.6,858.9,815.1,847.9,850.1999999999999,918.1,873.6,906.9,993.8000000000001,1052.7,1005.1999999999999,1030.8,981.3000000000001,975.4,985.1999999999999
210123,769.8000000000001,779.4,788.6,734.6,716.7,765.4000000000001,730.3,725.9000000000001,715.3,740.7,768.8000000000001,757.2,720.0999999999999,748.7,764.1,793.3000000000001,787.5,780.3,775.8,782.4,769.9,765.8000000000001,784.9,753.2
210124,772.3000000000001,752.3,743.4,726.1,724.4,739.8,719.3,746.0,761.8,724.2,710.3,686.6999999999999,683.3000000000001,715.6,722.8000000000001,726.2,746.5,766.5,805.1999999999999,813.4,799.8000000000001,796.0,793.3,796.8
210130,934.6,911.1,967.2,931.1,906.3000000000001,912.7,899.2,886.1,864.4,878.9,842.5,848.8,788.8000000000001,798.9000000000001,840.4,848.0,879.7,912.4000000000001,889.3,862.6,859.4,859.6,867.6,913.0
210206,819.9,801.3000000000001,812.6,821.2,813.3,781.8,816.1999999999999,796.9,832.8,793.6,782.9000000000001,808.0,802.6,763.7,793.9,815.4,781.5,781.9,802.1,781.5,784.3000000000001,767.0,798.0,780.8
210207,771.0999999999999,784.1,765.0,778.3,759.1999999999999,738.2,753.2,754.0,753.6,757.1,711.5,694.4000000000001,674.8000000000001,711.5,687.9,754.6999999999999,754.8000000000001,808.9,837.0,831.2,827.0,846.2,813.3,818.3
210211,809.3,811.6,780.4000000000001,764.8,777.7,778.1,794.9,782.1,785.3000000000001,762.6,732.1,744.7,698.3000000000001,704.3,703.6,689.0,715.9,712.1,742.3,722.0,717.2,681.1,707.0,699.6
210212,722.0,723.8000000000001,747.1,718.5,707.5999999999999,731.5,737.1,720.5,731.0,720.7,698.0,662.1999999999999,621.5,597.6,603.4000000000001,611.8000000000001,659.5,686.5999999999999,714.5,695.6,698.6,714.8000000000001,721.2,747.0
210213,761.4,756.0,788.5999999999999,749.8,735.5,769.5,856.8000000000001,833.0,727.8000000000001,733.4,710.4,636.3,638.9,645.2,638.0999999999999,612.4,646.0,686.9,686.8,699.2,711.6999999999999,694.9,724.9000000000001,735.3
210214,754.4000000000001,761.8,744.7,714.2,733.1999999999999,678.5999999999999,702.1,718.8000000000001,707.0,672.1999999999999,676.1,689.3,647.9,637.4000000000001,689.7,668.5,714.5,699.9,698.4,690.3,706.8000000000001,718.2,727.6,701.1999999999999
210220,795.5,832.2,822.9,810.9000000000001,784.3000000000001,777.3,823.8,799.2,775.4,778.6,813.6,714.2,681.9,700.8000000000001,719.0,726.3000000000001,714.0999999999999,760.3000000000001,738.7,714.3,751.4,706.6,748.0,738.6999999999999
210227,719.6999999999999,703.8,704.0,723.4000000000001,698.7,710.0999999999999,703.2,683.1,721.6999999999999,711.3000000000001,678.3,664.4,634.1999999999999,636.0,596.0,651.3,639.0,665.8,660.3000000000001,652.9,674.9,721.6999999999999,705.3000000000001,703.9000000000001
210306,683.1999999999999,684.9,667.5,642.4000000000001,668.4,660.6999999999999,687.9,665.6,641.1,678.3000000000001,649.5,633.2,640.4,627.5,621.1,629.5,631.2,629.2,656.3,662.9,650.9,638.8,634.3,661.2
210307,671.4,677.3000000000001,647.0,633.6999999999999,642.2,667.9000000000001,657.8,661.3000000000001,666.6999999999999,675.6999999999999,646.5,627.8000000000001,615.7,616.4,626.9,626.1999999999999,647.8000000000001,661.0999999999999,688.6,708.8,703.6,699.0,717.1,674.4
