,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
210104,139.0,130.4,115.5,101.3,119.0,97.5,107.4,101.0,135.6,140.2,122.2,118.9,125.5,121.9,108.7,100.5,113.2,123.7,149.4,148.3,146.3,157.3,157.9,150.3
210105,138.9,126.5,117.0,108.7,117.7,104.3,114.0,99.9,128.2,130.8,135.1,128.1,137.2,126.8,138.9,121.8,119.8,143.5,155.9,146.4,150.8,154.4,154.6,167.2
210106,166.0,169.8,146.2,125.0,124.2,117.0,109.7,117.2,138.2,138.6,135.4,127.9,129.0,116.7,132.3,140.3,136.4,136.9,180.7,160.0,179.2,178.7,176.4,160.1
210107,174.1,161.8,146.2,148.9,140.5,147.2,152.4,119.4,131.4,136.0,132.8,137.7,156.2,152.2,139.6,121.1,158.0,163.8,175.9,165.8,173.5,177.5,176.6,178.2
210108,172.3,162.7,135.1,142.4,130.1,136.6,121.7,137.7,143.2,149.2,156.9,157.7,154.0,152.3,158.8,167.8,161.0,164.8,185.6,180.5,178.3,188.8,202.9,188.1
210111,202.4,186.3,140.9,139.8,123.3,121.3,129.5,125.0,151.8,165.1,163.1,148.0,168.1,143.5,145.8,139.6,148.0,141.0,173.9,170.0,183.6,174.4,189.7,185.1
210112,180.5,176.2,162.1,159.9,153.1,145.4,148.5,152.0,144.6,181.8,153.1,147.5,137.8,126.2,144.3,135.0,131.1,155.5,167.0,187.3,179.3,200.6,174.9,185.4
210113,197.5,169.7,153.4,135.1,137.4,134.0,129.7,138.9,141.3,141.4,148.9,141.8,123.1,121.9,127.6,126.6,130.9,152.0,199.4,165.3,175.9,166.8,158.0,162.3
210114,158.1,159.2,143.5,138.7,138.3,145.2,129.2,146.6,137.3,157.1,132.4,128.8,122.2,125.7,125.7,124.6,134.1,129.2,156.5,150.3,159.2,155.3,164.7,159.2
210115,173.6,158.2,151.0,143.5,136.6,127.5,153.0,134.5,138.6,142.4,141.7,123.7,118.0,121.6,132.5,128.5,135.3,135.4,155.8,155.8,165.3,163.1,141.2,160.4
210119,185.2,191.4,137.9,148.3,149.6,138.6,142.1,128.6,145.2,139.3,148.8,144.9,126.1,114.9,110.5,133.8,131.6,149.7,155.9,163.4,151.7,162.7,166.3,183.9
