,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,DS,SL,SR,TM_6,TM_9,TM_12,TM_15,TM_18,WS_6,WS_9,WS_12,WS_15,WS_18,SK_6,SK_9,SK_12,SK_15,SK_18,PP_6,PP_9,PP_12,PP_15,PP_18,PR_9,PR_15,PR_21
210104,139,130.4,115.5,101.3,119,97.5,107.4,101,135.6,140.2,122.2,118.9,125.5,121.9,108.7,100.5,113.2,123.7,149.4,148.3,146.3,157.3,157.9,150.3,9.9,5.8,10.07,-1,-2,-4,-5,-6,6.1,3.3,2.7,2.1,2.8,4,4,4,4,4,30,30,30,30,30,0,0,0
210105,138.9,126.5,117,108.7,117.7,104.3,114,99.9,128.2,130.8,135.1,128.1,137.2,126.8,138.9,121.8,119.8,143.5,155.9,146.4,150.8,154.4,154.6,167.2,9.9,3,7.74,0,-2,-2,-2,-5,2.4,1.1,2.5,6,6.6,4,4,4,4,4,30,30,30,60,80,0,1,5
210106,166,169.8,146.2,125,124.2,117,109.7,117.2,138.2,138.6,135.4,127.9,129,116.7,132.3,140.3,136.4,136.9,180.7,160,179.2,178.7,176.4,160.1,9.9,6.9,10.95,-7,-9,-11,-11,-14,6.5,4.3,2.3,2.1,2.9,4,4,4,4,4,90,90,90,90,80,5,10,5
210107,174.1,161.8,146.2,148.9,140.5,147.2,152.4,119.4,131.4,136,132.8,137.7,156.2,152.2,139.6,121.1,158,163.8,175.9,165.8,173.5,177.5,176.6,178.2,9.9,0,5.16,-7,-10,-12,-13,-13,3.7,1.3,1.3,1.6,2.2,4,1,1,3,4,30,10,10,60,60,0,1,1
210108,172.3,162.7,135.1,142.4,130.1,136.6,121.7,137.7,143.2,149.2,156.9,157.7,154,152.3,158.8,167.8,161,164.8,185.6,180.5,178.3,188.8,202.9,188.1,9.9,3.2,12.15,-3,-5,-10,-12,-10,4.7,4.9,1.9,1.3,1.5,3,4,1,1,1,20,30,10,10,0,0,0,0
210111,202.4,186.3,140.9,139.8,123.3,121.3,129.5,125,151.8,165.1,163.1,148,168.1,143.5,145.8,139.6,148,141,173.9,170,183.6,174.4,189.7,185.1,10,0.1,5.82,3,0,-2,-3,-3,2.5,1.4,1.5,1.5,1.4,4,4,4,3,3,30,30,30,10,20,0,0,0
210112,180.5,176.2,162.1,159.9,153.1,145.4,148.5,152,144.6,181.8,153.1,147.5,137.8,126.2,144.3,135,131.1,155.5,167,187.3,179.3,200.6,174.9,185.4,10,5.3,10.78,10,5,2,2,0,4.5,1.4,0.9,0.6,1.3,1,3,4,4,3,0,10,30,30,20,0,0,0
210113,197.5,169.7,153.4,135.1,137.4,134,129.7,138.9,141.3,141.4,148.9,141.8,123.1,121.9,127.6,126.6,130.9,152,199.4,165.3,175.9,166.8,158,162.3,10,8.1,11.74,11,5,3,4,4,3.8,2.4,3.8,3.4,2.2,1,1,1,3,4,0,0,0,20,30,0,0,0
210114,158.1,159.2,143.5,138.7,138.3,145.2,129.2,146.6,137.3,157.1,132.4,128.8,122.2,125.7,125.7,124.6,134.1,129.2,156.5,150.3,159.2,155.3,164.7,159.2,10,8.5,12.16,14,10,5,2,0,6,3.8,3.7,4.5,5,4,4,4,4,4,30,60,30,30,30,1,0,0
210115,173.6,158.2,151,143.5,136.6,127.5,153,134.5,138.6,142.4,141.7,123.7,118,121.6,132.5,128.5,135.3,135.4,155.8,155.8,165.3,163.1,141.2,160.4,10.1,2.9,7.46,0,-1,-3,-3,-4,6.5,4.2,4.1,3.8,2.7,3,4,4,4,4,20,30,30,30,60,0,0,1
210119,185.2,191.4,137.9,148.3,149.6,138.6,142.1,128.6,145.2,139.3,148.8,144.9,126.1,114.9,110.5,133.8,131.6,149.7,155.9,163.4,151.7,162.7,166.3,183.9,10.1,9.4,14.39,9,3,1,0,-1,3.1,1.7,2.7,2.4,2,1,3,4,3,4,0,20,30,20,30,0,0,0
210120,157.3,148.5,135.7,120.6,138.2,115.4,129.7,123.9,142.2,147.1,127.7,139.7,117.2,128.9,115,127.6,122.4,152.7,163.1,160,161.8,168.1,154.7,153.9,10.2,8.8,13.68,11,8,6,6,6,2.6,2.8,3.5,3.5,0.9,4,4,4,4,4,30,30,70,70,70,0,10,5
210121,151.4,140.8,132.5,117.1,111.1,114.1,109.1,109.4,124.2,133.5,127.6,126.2,139,135.3,130.2,146.8,128.6,149.1,160.6,140.6,147.9,160.4,155.5,157.1,10.2,2.5,5.47,11,10,7,6,6,2.3,1.8,1.9,1.8,1.3,4,4,4,4,4,30,30,30,30,30,0,0,0
210122,151.6,145.7,133.7,123,114.3,115.8,109.8,102.6,113.7,147,122.6,127.7,135.3,138.1,122.1,123.8,124.5,157.3,154.4,137.6,143.4,160.4,152.7,149,10.2,8.4,4.14,12,10,8,7,6,2.5,2.3,1.8,1.9,2.1,4,4,4,4,4,80,80,30,30,30,5,0,0
210125,159.9,150.2,124.3,120.7,114.5,112.2,106.6,100.9,135.9,120.9,119.8,119.2,108.1,110.2,106.4,104.9,107.7,124.8,152.7,145.5,145.7,158.9,167.2,154.2,10.3,9.2,13.75,9,8,5,3,1,4.9,4.4,4.4,4.3,3.8,4,4,4,4,3,60,30,30,30,20,1,0,0
210126,152.4,143.9,117.6,117.2,124.1,120.9,103,113.9,119.1,131.1,120.6,127.8,134.4,123.9,125.2,132.7,129.7,137.5,149.9,151.8,176.1,155.6,150.5,147,10.3,0.1,3.79,8,4,1,-1,-2,5,2.3,1.4,1.2,0.9,1,3,3,3,3,10,10,20,20,20,0,0,0
