,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,DS,SR,TM_6,TM_9,TM_12,TM_15,TM_18,WS_6,WS_9,WS_12,WS_15,WS_18,SK_6,SK_9,SK_12,SK_15,SK_18,PP_6,PP_9,PP_12,PP_15,PP_18,PR_9,PR_15,PR_21
210104,879.6,906.7,902.6,866.6999999999999,821.9,869.8,853.6999999999999,893.9,1063.9,1099.7,1144.8,1144.2,1061.4,1082.4,1103.2,1099.1,1105.6,1100.7,1043.8,1016.0,975.6,979.7,982.6,933.4,9.9,10.07,-1.0,-2.0,-4.0,-5.0,-6.0,6.1,3.3,2.7,2.1,2.8,4.0,4.0,4.0,4.0,4.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0
210105,925.6,936.7,882.7,894.6,864.2,859.1,853.6999999999999,891.3,957.4,1084.6,1114.3,1144.1,1149.4,1178.3000000000002,1159.4,1173.3,1168.5,1149.9,1105.5,976.7,978.8,989.3,965.6,968.6,9.9,7.74,0.0,-2.0,-2.0,-2.0,-5.0,2.4,1.1,2.5,6.0,6.6,4.0,4.0,4.0,4.0,4.0,30.0,30.0,30.0,60.0,80.0,0.0,1.0,5.0
210106,941.6,938.5,908.3,922.8,889.1,909.2,890.2,958.8,1094.0,1174.3,1176.7,1166.4,1137.6,1142.4,1108.5,1095.2,1121.3,1150.4,1040.5,1043.8,1018.8,1017.6,978.0,958.3,9.9,10.95,-7.0,-9.0,-11.0,-11.0,-14.0,6.5,4.3,2.3,2.1,2.9,4.0,4.0,4.0,4.0,4.0,90.0,90.0,90.0,90.0,80.0,5.0,10.0,5.0
210107,959.1,993.6,928.9,974.8,1028.6,985.0,971.7,1021.1,1077.4,1265.7,1376.7,1319.5,1329.1,1351.0,1350.3,1351.6,1358.4,1349.0,1279.1,1213.7,1264.2,1229.0,1223.8,1205.3,9.9,5.16,-7.0,-10.0,-12.0,-13.0,-13.0,3.7,1.3,1.3,1.6,2.2,4.0,1.0,1.0,3.0,4.0,30.0,10.0,10.0,60.0,60.0,0.0,1.0,1.0
210108,1190.3,1182.8000000000002,1160.8,1122.6,1099.7,1116.8,1140.9,1152.3,1314.6,1387.3000000000002,1454.2,1429.9,1353.0,1367.3,1342.3,1312.9,1317.2,1345.6,1326.0,1207.8000000000002,1231.6,1258.3,1264.5,1202.8,9.9,12.15,-3.0,-5.0,-10.0,-12.0,-10.0,4.7,4.9,1.9,1.3,1.5,3.0,4.0,1.0,1.0,1.0,20.0,30.0,10.0,10.0,0.0,0.0,0.0,0.0
210111,1071.3,1016.5,1006.8,990.2,1030.1,1014.6,1000.6,1076.4,1123.6,1278.8,1343.0,1307.4,1286.2,1243.5,1246.7,1268.7,1247.8,1256.7,1208.6999999999998,1144.6,1192.8,1164.9,1137.9,1139.0,10.0,5.82,3.0,0.0,-2.0,-3.0,-3.0,2.5,1.4,1.5,1.5,1.4,4.0,4.0,4.0,3.0,3.0,30.0,30.0,30.0,10.0,20.0,0.0,0.0,0.0
210112,1103.9,1081.5,1096.5,1079.5,1086.8,1104.5,1103.5,1127.4,1216.1,1297.7,1317.1999999999998,1234.9,1183.2,1200.1,1122.4,1197.2,1165.5,1209.3000000000002,1166.4,1115.3,1106.4,1068.2,1115.4,1124.7,10.0,10.78,10.0,5.0,2.0,2.0,0.0,4.5,1.4,0.9,0.6,1.3,1.0,3.0,4.0,4.0,3.0,0.0,10.0,30.0,30.0,20.0,0.0,0.0,0.0
210113,1055.1,1057.3,1026.0,1018.3,1027.7,1050.4,1017.1,1067.4,1073.5,1145.8,1169.1,1104.6,1091.4,1071.2,1047.3,1000.0,1040.7,1064.8,1048.9,964.3,1009.2,958.1,995.7,971.6,10.0,11.74,11.0,5.0,3.0,4.0,4.0,3.8,2.4,3.8,3.4,2.2,1.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,20.0,30.0,0.0,0.0,0.0
210114,937.3,952.6,954.1,942.8,932.4,980.0,950.7,999.0,1049.9,1187.3,1146.6,1106.4,1059.9,975.5,946.4,946.5,937.5,959.4,935.0,923.3,933.5,972.0,933.4,930.2,10.0,12.16,14.0,10.0,5.0,2.0,0.0,6.0,3.8,3.7,4.5,5.0,4.0,4.0,4.0,4.0,4.0,30.0,60.0,30.0,30.0,30.0,1.0,0.0,0.0
210115,893.0,889.9,920.0,891.7,877.7,878.3,886.6,883.3000000000001,970.4,1080.8,1070.9,967.2,936.3,917.9,935.9,909.8,916.5,880.0999999999999,881.3000000000001,863.3000000000001,858.3000000000001,832.6,861.5,849.4,10.1,7.46,0.0,-1.0,-3.0,-3.0,-4.0,6.5,4.2,4.1,3.8,2.7,3.0,4.0,4.0,4.0,4.0,20.0,30.0,30.0,30.0,60.0,0.0,0.0,1.0
