,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
211018,155.7,152.5,129.6,125.4,108.7,105.9,81.3,84.8,109.5,105.8,106.9,98.3,116.6,131.7,119.2,122.6,121.9,133.5,153.5,164.2,150.5,156.2,141.0,162.4
211019,159.2,155.2,146.3,108.4,113.0,91.5,98.3,82.1,119.5,106.6,107.5,113.5,120.2,130.3,125.4,127.3,125.4,138.2,162.0,151.7,141.1,142.9,158.9,142.9
211020,142.3,138.8,137.3,104.3,105.3,83.4,86.2,83.2,94.8,94.1,108.5,110.1,117.8,126.9,152.3,134.5,139.2,134.0,155.2,144.9,157.0,149.9,154.7,143.7
211021,149.2,151.3,149.6,127.4,123.7,94.5,106.4,86.6,105.0,101.6,110.5,118.5,126.3,126.3,134.5,127.9,127.7,142.5,147.9,158.5,146.6,150.8,147.3,157.1
211022,156.7,141.1,142.2,136.3,125.1,117.6,109.5,115.5,103.4,102.3,99.5,107.1,108.9,135.0,136.3,120.9,127.3,160.9,160.4,150.0,157.3,171.7,158.6,168.0
211025,149.1,130.3,113.0,108.0,101.7,106.4,84.8,86.3,88.8,91.1,89.5,108.5,108.7,103.7,113.1,122.3,119.8,120.8,138.4,155.3,137.0,142.0,157.4,149.5
211026,140.7,127.9,117.1,125.2,104.2,93.2,94.7,92.0,87.0,87.4,92.5,114.1,110.0,103.1,111.0,120.3,129.9,131.7,131.6,142.9,148.8,142.4,146.9,144.0
211027,145.7,132.2,123.9,108.4,104.1,91.3,93.0,95.6,112.3,95.5,95.3,114.2,108.2,106.2,110.7,115.7,133.4,137.4,136.1,145.7,151.1,138.6,147.0,131.1
211028,134.8,143.2,113.4,112.9,109.0,100.5,91.5,91.2,103.9,98.4,89.3,96.2,115.1,119.5,120.9,119.4,132.1,148.5,136.9,145.7,146.7,158.7,155.4,141.5
211101,151.6,139.1,128.8,101.3,112.4,97.8,102.7,104.8,114.6,113.6,105.8,107.5,134.7,109.7,130.7,113.3,140.2,144.6,139.7,156.9,171.8,169.1,172.4,163.0
211102,140.4,123.8,132.0,117.8,108.2,100.5,91.8,110.3,120.3,115.3,122.8,115.5,135.6,116.6,131.4,147.7,168.8,154.1,171.6,148.8,155.8,166.4,144.6,167.2
211103,172.8,157.2,123.3,119.2,110.0,110.0,101.6,89.1,104.7,114.3,119.0,154.7,123.7,125.9,116.9,128.3,134.4,158.7,148.3,153.0,164.3,159.1,157.1,161.1
211104,156.9,144.0,129.6,116.3,96.5,107.6,93.5,109.0,119.6,105.8,117.3,117.8,124.3,119.2,116.5,129.7,126.8,137.9,153.2,145.8,147.0,153.1,160.4,159.1
