,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
210105,289.6,295.6,333.5,296.3,294.3,276.7,317.5,284.2,275.2,304.7,260.7,285.0,273.6,298.8,315.2,327.4,370.2,347.0,328.0,322.8,345.1,314.2,329.1,333.1
210106,337.6,298.5,304.9,301.7,296.4,282.4,315.2,329.0,320.7,304.5,258.1,261.3,219.9,179.2,243.2,285.3,328.9,359.8,373.8,310.5,311.1,333.9,328.3,326.2
210107,318.1,341.4,336.2,311.9,326.9,328.9,318.3,299.3,341.2,373.9,340.9,345.3,354.1,359.0,356.8,344.1,367.4,301.0,282.8,355.1,342.3,301.3,334.9,336.8
210108,326.0,319.5,338.5,339.0,315.6,305.3,329.1,337.6,333.7,353.8,376.0,365.0,350.8,379.8,385.8,351.3,327.0,351.4,318.0,328.0,313.4,331.1,324.9,315.4
210111,323.2,320.8,307.6,305.4,300.2,324.3,272.6,312.0,323.0,323.3,299.5,288.7,293.2,304.9,290.9,337.1,328.4,337.5,320.4,302.0,293.6,293.8,322.0,324.8
210112,318.5,295.9,310.0,305.2,295.8,321.7,322.5,272.3,307.3,378.3,342.5,337.2,175.9,170.5,318.6,325.6,367.7,333.5,314.3,342.8,315.5,318.3,327.3,333.5
210113,299.4,287.3,301.4,307.0,303.5,280.2,295.0,332.9,325.5,295.5,262.4,194.1,178.1,204.1,226.6,250.8,297.8,354.6,324.4,295.1,299.2,307.4,290.6,298.4
210114,316.2,306.0,280.8,296.4,305.9,307.2,278.8,277.5,289.6,311.1,234.4,194.3,168.6,144.2,165.3,247.6,303.9,370.9,335.9,322.6,298.9,294.3,311.6,275.3
210115,289.0,309.9,316.7,303.4,287.7,310.0,302.4,293.9,306.9,333.1,275.8,254.4,288.2,288.3,332.3,294.0,386.3,364.3,309.0,310.2,317.3,305.7,297.9,300.1
210119,310.4,332.0,296.0,293.9,303.0,299.8,295.7,296.5,318.4,282.8,237.3,177.2,156.3,134.1,171.3,238.4,284.2,364.8,353.8,337.8,315.1,313.1,323.6,335.7
210120,305.9,296.4,320.9,319.9,299.4,313.6,321.1,325.7,296.5,302.0,236.6,151.0,105.3,128.8,217.4,214.0,358.1,358.0,359.6,338.1,309.9,365.5,333.8,330.2
210121,332.7,319.7,278.6,291.8,302.9,323.0,287.1,309.3,309.8,330.7,333.3,302.4,277.3,298.5,377.1,334.8,367.0,389.6,318.8,326.6,324.6,307.9,276.8,295.9
210122,308.1,265.9,295.6,323.3,312.0,309.6,293.2,296.7,346.4,375.6,349.6,338.9,380.8,329.5,344.0,366.8,368.5,352.4,314.3,359.9,343.8,330.0,345.4,361.7
210125,311.7,292.2,289.4,299.6,304.6,266.7,260.9,282.3,324.8,267.6,214.9,212.2,212.7,173.2,191.7,205.7,325.6,361.4,348.5,329.8,308.6,292.6,292.4,321.7
210126,299.7,289.4,311.2,313.8,296.9,288.5,304.2,322.6,323.7,384.1,356.1,340.3,351.9,334.1,363.7,306.8,373.5,384.8,377.8,362.2,355.9,353.7,354.2,306.4
210127,312.6,320.7,306.1,300.5,303.4,330.9,316.7,297.7,304.6,327.2,237.0,162.2,159.2,148.8,157.9,269.0,285.7,298.0,326.5,351.2,329.1,303.7,302.9,334.3
210129,344.0,331.5,325.4,323.8,303.5,358.6,366.2,306.8,322.0,391.7,310.2,196.7,275.7,273.9,193.4,204.1,360.7,335.3,360.8,348.8,323.6,305.3,343.0,353.9
210202,353.2,356.8,348.4,299.6,296.8,324.0,307.1,299.1,302.6,331.9,191.7,192.6,161.0,153.3,179.5,243.7,283.2,381.1,365.4,386.6,376.7,307.7,354.9,342.3
210203,351.8,343.5,302.8,322.0,321.9,307.5,289.2,333.4,304.0,317.4,264.0,175.2,172.1,164.8,203.1,260.7,327.9,390.5,380.4,360.5,340.8,339.0,348.0,329.2
210204,308.9,368.0,331.9,311.7,338.9,345.7,293.2,328.4,359.4,374.9,247.7,183.2,179.7,182.4,177.0,252.3,294.6,354.8,368.4,394.7,320.4,332.8,349.6,355.1
210205,330.9,333.6,341.0,358.2,345.4,322.8,317.8,337.5,320.5,321.3,302.7,266.7,213.7,237.9,321.2,303.8,303.3,310.8,341.9,339.2,350.6,345.6,367.7,328.7
210208,306.8,300.2,331.3,325.6,308.3,302.1,319.1,325.2,306.4,282.7,219.0,158.7,129.9,147.3,255.8,197.5,304.4,359.9,378.8,337.4,333.5,337.9,284.5,277.8
210209,310.6,348.8,325.0,324.7,308.8,350.6,324.5,317.4,343.5,308.0,224.5,168.2,166.3,110.0,126.3,208.0,257.5,331.8,325.1,298.2,295.5,333.1,334.8,334.0
210210,318.8,327.1,313.1,317.0,310.1,326.8,319.4,301.6,311.9,330.3,194.0,156.8,145.8,122.0,170.2,191.4,292.7,338.6,315.7,349.0,291.1,313.0,318.7,319.1
210215,314.3,309.4,278.7,281.0,310.2,279.1,260.8,315.1,326.3,335.9,328.6,311.1,347.6,280.5,301.6,307.8,356.1,345.4,309.4,302.9,299.4,297.3,297.1,313.6
210216,339.2,304.0,302.2,319.0,329.5,322.1,317.6,360.7,300.2,250.8,207.7,166.3,178.1,179.6,279.9,363.0,370.1,317.1,324.2,319.5,318.5,324.3,335.0,304.5
210217,306.1,293.8,301.0,296.8,290.6,327.7,342.0,313.1,318.1,367.1,315.9,323.6,307.6,338.7,316.1,334.3,388.6,335.1,326.5,331.9,333.4,308.6,307.9,321.7
210218,340.3,329.9,301.5,326.6,334.8,306.8,304.6,335.6,361.4,371.2,371.2,327.9,336.4,332.7,266.9,346.8,299.5,356.4,359.9,332.8,303.9,313.0,352.2,310.6
210219,319.2,327.8,357.8,292.6,319.4,308.6,327.7,318.8,295.0,260.7,236.3,144.0,118.6,125.8,127.0,181.0,252.2,383.0,352.4,340.9,316.6,336.3,307.3,335.7
210222,309.7,281.1,279.8,279.8,288.0,312.5,286.5,337.8,302.2,278.5,240.2,153.6,148.7,170.9,186.6,178.8,283.2,355.4,310.0,273.0,277.3,313.8,289.2,301.8
210223,325.2,331.7,313.9,314.2,318.9,343.1,319.8,324.6,323.5,298.2,233.6,215.1,185.7,202.3,159.1,261.6,264.6,297.9,344.9,347.4,338.2,308.5,274.4,301.2
210224,303.5,304.6,297.0,365.5,313.2,307.6,327.2,323.0,314.9,326.9,336.0,353.2,312.9,299.7,310.8,310.1,343.3,344.8,330.5,340.1,322.7,366.0,354.3,313.2
210225,341.6,342.3,333.3,349.0,322.8,341.1,341.4,332.0,323.5,391.3,388.4,364.7,335.8,345.8,338.5,360.4,373.5,397.7,371.6,369.0,310.7,342.6,360.9,326.1
210226,323.3,353.7,325.4,324.2,314.3,345.3,333.9,321.4,327.2,337.5,264.0,277.1,229.5,270.5,222.8,276.5,350.1,340.1,346.1,370.0,369.2,319.2,321.1,330.4
210301,318.9,311.3,312.3,324.7,300.9,331.0,321.4,264.7,265.1,283.0,295.5,269.1,256.1,276.6,294.4,294.4,295.5,322.1,346.4,341.8,329.4,324.6,334.9,332.2
210302,315.2,317.0,337.5,328.1,277.2,277.8,322.6,325.9,335.8,348.6,346.7,285.5,260.8,215.4,273.7,281.6,282.3,328.9,324.7,287.9,295.0,344.8,333.6,310.3
210303,323.3,353.2,327.4,329.5,322.2,367.9,324.0,310.5,283.7,315.9,216.8,196.1,164.7,153.0,125.4,242.7,330.0,348.2,332.6,317.2,340.2,318.0,333.8,329.9
210304,338.5,293.4,284.5,284.5,300.7,298.2,294.3,296.0,343.1,359.3,309.5,311.0,326.1,320.6,335.2,348.0,386.1,352.7,345.3,318.1,363.9,319.8,348.4,312.7
210305,333.3,328.4,312.7,327.5,310.6,336.8,315.6,281.6,294.1,256.0,198.6,151.2,154.8,127.6,131.9,172.0,281.4,304.1,318.3,333.7,318.8,309.4,314.9,312.1
210308,340.9,366.6,327.9,328.5,316.3,320.9,317.6,318.4,315.2,346.8,236.8,170.1,141.1,157.6,166.0,184.8,245.0,327.5,323.1,317.3,343.0,329.7,321.6,322.4
210309,352.3,307.1,330.2,307.9,319.1,333.3,317.1,286.5,265.4,250.8,212.2,147.8,126.1,131.7,163.3,292.1,289.0,318.0,327.0,345.0,323.1,323.9,311.5,337.6
210310,319.2,313.9,306.7,353.3,314.0,315.6,312.8,345.3,290.9,225.5,196.6,182.4,135.1,152.8,182.0,198.4,261.5,303.4,353.9,327.0,317.8,319.7,345.7,318.7
210311,310.9,296.9,333.9,307.0,295.9,294.9,338.4,319.6,295.2,268.5,285.7,191.9,215.5,218.3,171.8,277.4,291.9,376.0,342.6,328.2,339.7,347.7,320.8,322.4
210312,312.0,336.9,324.9,311.1,307.8,309.3,327.4,304.9,303.9,336.6,300.2,287.2,295.0,315.1,303.2,270.0,290.9,313.3,288.8,288.9,311.1,328.5,287.7,308.8
210315,315.0,314.2,327.5,362.6,298.1,290.3,306.2,330.3,270.5,255.8,217.4,237.3,153.9,187.5,207.3,210.7,276.7,345.3,319.9,299.0,284.6,270.8,317.8,321.9
210316,321.6,315.3,348.3,313.7,320.9,316.4,331.9,312.6,283.4,276.7,190.1,157.3,109.6,144.8,161.8,174.4,242.6,301.4,344.8,377.3,343.1,333.3,349.6,340.8
210317,337.2,321.5,350.8,351.7,326.8,322.6,336.5,331.0,275.4,214.3,180.2,151.8,172.7,225.5,254.2,208.1,319.2,358.5,354.6,338.9,329.5,358.1,324.5,312.9
210318,326.3,344.0,347.2,295.4,282.5,342.3,340.6,326.6,274.6,279.0,191.7,169.4,142.6,154.7,145.2,193.6,261.8,318.3,306.7,342.5,334.1,346.6,317.8,327.1
210319,334.3,323.2,299.8,313.7,311.8,295.7,315.0,306.0,270.0,267.0,225.7,164.4,171.2,151.8,173.7,208.7,295.3,339.9,325.9,317.1,316.3,337.2,315.9,310.5
210322,327.9,328.7,306.2,342.6,318.4,307.0,336.1,313.7,275.5,218.2,170.6,153.2,244.2,266.6,166.6,115.6,196.7,295.2,337.3,330.0,318.3,329.1,329.0,315.7
210323,333.7,351.1,330.5,329.1,335.0,316.0,318.4,287.8,270.4,257.2,231.9,141.8,119.0,168.1,151.8,178.1,240.1,352.5,330.4,333.9,331.6,344.3,336.8,313.6
210324,327.7,349.6,319.9,308.9,329.2,340.1,311.5,312.6,261.5,280.8,290.2,283.0,245.3,284.9,286.6,273.4,306.3,325.8,350.1,349.7,337.7,339.6,344.0,326.3
210325,322.1,332.1,317.5,310.2,326.0,318.4,329.2,285.5,318.8,249.0,188.3,145.8,99.7,183.9,193.2,164.2,235.4,320.3,368.4,332.5,318.4,328.5,364.5,314.0
210326,319.2,339.3,331.8,329.6,315.0,316.0,344.8,303.1,285.0,251.0,191.9,261.9,181.5,140.4,210.3,251.5,253.8,296.0,369.4,329.6,323.6,325.3,361.7,324.1
210329,322.5,330.0,312.6,317.0,316.0,333.1,331.6,296.2,276.3,250.9,225.4,172.8,133.2,206.8,280.2,201.5,262.2,307.0,289.4,269.1,287.5,276.4,279.6,277.4
210330,303.8,305.7,284.8,279.2,264.1,269.8,291.5,254.5,252.8,246.2,151.3,104.4,77.3,84.5,103.2,125.5,166.9,292.5,303.0,302.4,303.4,346.7,311.7,311.1
210401,306.4,310.2,318.0,324.7,305.6,311.6,345.0,312.6,272.7,282.6,281.7,280.6,248.7,217.1,219.8,264.6,277.5,313.4,326.6,303.8,297.8,302.5,312.7,290.6
210402,277.1,292.9,300.5,278.9,274.0,267.0,278.6,293.6,245.7,220.9,258.3,263.3,278.1,247.6,280.6,286.7,278.1,298.9,364.3,329.0,311.8,306.4,329.9,341.7
210405,303.0,310.4,312.6,327.6,329.1,302.1,312.3,319.6,297.0,214.9,152.7,118.5,127.2,151.2,116.5,180.4,234.9,292.5,337.9,338.8,335.7,310.5,315.6,337.3
210406,348.2,336.9,321.1,275.8,302.4,306.3,317.1,311.1,315.4,312.3,288.8,182.3,170.2,155.0,183.9,155.7,219.1,309.6,338.0,313.4,320.8,345.6,327.3,323.4
210407,335.1,327.3,284.4,278.2,286.8,309.5,289.9,251.2,234.4,201.3,125.5,100.4,78.0,129.7,132.1,118.7,186.7,238.7,318.2,321.4,326.5,312.7,332.8,327.0
210408,317.3,328.3,350.4,310.6,314.8,313.1,317.2,270.9,244.8,239.9,170.8,161.7,158.9,135.6,167.4,197.8,227.9,271.6,346.7,335.5,336.3,324.6,344.3,329.4
