,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
211018,332.7,316.0,323.4,343.1,321.4,328.8,324.5,310.1,257.7,221.1,153.2,126.9,140.9,140.1,183.7,222.2,304.4,359.2,346.4,323.2,354.3,334.8,329.6,337.2
211019,332.9,334.0,361.5,322.8,323.0,312.7,294.5,287.2,303.3,281.9,189.8,254.7,300.6,319.9,293.3,312.1,321.1,305.0,320.4,318.1,303.9,309.3,304.2,330.3
211020,322.1,302.6,328.2,331.3,329.6,357.1,368.3,313.1,308.4,255.3,212.8,225.7,185.1,258.0,291.9,310.5,375.1,359.7,348.9,338.3,328.1,332.3,342.8,347.7
211021,319.9,308.3,288.8,295.4,314.4,288.6,291.0,303.3,301.7,272.3,197.0,223.6,186.8,162.6,259.5,227.4,316.5,332.1,337.2,343.6,360.2,358.6,340.1,335.8
211022,333.9,343.4,364.6,342.5,343.0,342.9,329.8,338.0,320.8,240.0,184.4,165.1,135.3,205.6,286.1,305.3,296.4,338.2,311.4,337.9,295.2,293.6,294.5,300.6
211025,324.3,313.6,322.6,333.5,331.1,359.2,330.7,340.0,304.7,254.1,212.6,190.2,173.0,180.4,181.9,235.5,332.4,382.7,357.5,357.7,333.7,339.2,343.5,319.2
211026,308.1,301.3,302.3,298.8,357.4,320.1,300.9,304.2,268.3,313.7,292.9,257.1,208.9,293.2,265.7,273.4,290.6,328.4,319.9,318.1,315.7,343.8,310.9,317.8
211027,314.7,333.3,331.7,358.4,338.4,337.3,340.1,344.8,316.4,326.8,253.3,203.5,235.6,310.7,220.6,278.5,323.3,354.3,346.2,378.4,366.8,352.3,342.4,343.7
211028,338.9,315.4,330.6,310.9,314.4,305.5,325.2,342.9,277.6,238.2,221.3,191.2,214.6,195.8,216.6,273.8,350.2,404.0,402.0,353.2,334.7,335.6,328.5,328.4
211101,359.2,370.6,352.3,353.8,360.9,345.2,396.6,377.7,338.5,297.4,249.7,291.4,310.5,302.2,291.9,288.8,322.6,372.8,362.6,340.7,331.2,354.9,372.4,378.0
211102,366.5,344.6,348.5,352.8,352.1,379.0,351.7,361.4,321.6,304.6,302.5,337.4,295.7,291.8,341.3,375.9,386.5,400.3,391.2,369.0,364.0,378.2,363.8,367.1
