,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
211018,576.7,575.6,573.1,565.6,558.2,554.8,556.0,565.1,587.6,650.0,679.8,690.9000000000001,845.8,834.0,820.2,855.5,851.4,840.5999999999999,813.5999999999999,753.7,773.5,762.8000000000001,767.2,756.6999999999999
211019,700.8000000000001,702.5,683.4,696.6999999999999,668.9,665.0,656.7,659.5,702.6999999999999,780.3,781.6,847.6999999999999,796.4000000000001,800.4,870.4,911.9,875.5999999999999,843.3,769.0,763.5,736.9,769.0,723.6,712.9
211020,680.8,697.4,663.2,687.8,645.1,621.0,654.6999999999999,650.4000000000001,653.4,843.3,857.4000000000001,819.2,780.0,841.5999999999999,821.4,816.1,844.6,836.6,769.7,767.1,744.0,717.5,718.4,700.1
211021,721.3,693.5,661.8,692.7,678.6,686.2,658.9,674.6999999999999,711.7,772.3,778.2,773.0,714.9,727.6,735.3,753.2,728.0999999999999,778.0,738.2,685.1999999999999,682.7,678.3,686.9,665.0
211022,667.0,644.4,627.2,646.5,608.5,609.6,609.1,624.9000000000001,688.6999999999999,731.3,694.2,703.9,691.0,707.9,721.1,728.4000000000001,737.4000000000001,706.8,678.4,640.1999999999999,621.7,666.1,614.3,602.3000000000001
211025,622.6,613.1,603.1,591.0,616.6,578.1,586.8,626.4,636.7,724.5,712.8,734.9,703.0,721.1,757.8,743.7,750.0,735.2,723.6999999999999,694.9,708.7,699.9,681.9,669.5
211026,693.4,653.1,635.8,609.0,613.2,587.6,594.0,590.6,686.8,744.4,783.2,763.4,716.7,763.4,748.0,735.2,785.3,741.6,726.9000000000001,700.2,682.3,688.0999999999999,698.0,665.8000000000001
211027,655.1,656.5,654.8,631.0,617.7,628.1999999999999,649.1,603.2,673.9,716.4,765.0999999999999,779.8,754.0,736.2,735.9,752.5,736.7,746.5,719.6999999999999,687.1,704.1,703.5999999999999,713.1,679.4
211028,687.3000000000001,641.2,649.4000000000001,626.5,615.0,628.9,579.0,642.5,709.5,761.5,790.5,781.6,731.8,761.5,763.1,765.0999999999999,788.4,782.7,707.7,661.3,687.7,667.5,671.6,657.0
211101,642.4,644.2,637.7,622.8000000000001,604.9,596.1,620.9000000000001,628.0,723.5,734.5,777.1,777.3,761.3,765.1999999999999,765.4000000000001,790.5999999999999,778.5999999999999,775.0,723.0999999999999,746.1,713.5999999999999,708.0,717.0,704.3
211102,656.0,670.0,655.0,643.9,605.5,623.6999999999999,613.2,619.7,708.7,786.5,812.1,772.9000000000001,751.9,771.4000000000001,773.4,804.1,812.1,804.0,760.8,735.2,702.1,705.1,667.4,689.3
211103,680.9,689.7,642.5999999999999,625.6,638.0,627.5,633.9,641.5999999999999,692.0999999999999,751.9,746.3000000000001,742.5,697.8,718.4000000000001,726.5,754.3000000000001,750.2,733.7,692.8,667.4000000000001,735.5,725.0,695.8000000000001,711.4
211104,650.6,644.9,620.6,638.9,642.1999999999999,591.7,598.3000000000001,615.5,705.0,778.3,769.2,757.1,755.6,734.5999999999999,785.4,775.5999999999999,797.8000000000001,807.5,734.5,718.4,720.5999999999999,725.8000000000001,733.1999999999999,702.5999999999999
211105,681.5,642.8,657.5,660.1999999999999,655.4,650.0,620.8000000000001,635.1,669.5,704.5,822.5999999999999,777.6999999999999,742.5999999999999,783.4,799.3,807.4,767.0999999999999,754.4,707.4,684.3,687.3,654.3000000000001,666.8,664.3
211108,632.5,650.4,642.5,616.1,603.6,590.9,613.0,601.8,714.9000000000001,775.7,804.9,804.2,815.5,809.2,816.6,806.0999999999999,856.3,833.0999999999999,790.6,763.3,702.1,716.8000000000001,715.1,707.5
211109,663.1,664.2,635.6,626.5,608.3,597.6999999999999,619.1,620.8000000000001,659.9,780.7,824.0,813.9,780.9,802.9,795.2,773.2,790.1999999999999,785.2,721.2,686.6,696.0,692.0,677.9,691.8000000000001
211110,651.1999999999999,616.1,612.9,632.8,630.0,628.2,668.1,666.4,737.2,784.5,787.2,809.9000000000001,846.5,815.7,811.7,808.7,776.6,794.9000000000001,749.7,726.3,712.4,701.6,703.9,685.0
211111,678.6,669.6,644.1999999999999,686.9,653.2,656.9,668.4,631.1,755.7,782.5,788.7,783.4,830.5,823.8,853.0,841.4,868.2,842.4000000000001,774.5,765.4,779.4,712.0999999999999,752.0,714.0
211112,707.4,686.3,693.2,643.5,643.2,674.1999999999999,645.4,663.4,769.2,798.8,808.2,786.4,789.7,816.4,838.4,819.6,821.5,831.5,798.8,735.4000000000001,745.0,708.2,730.8,715.5
