,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,DS,SL,SR,TM_6,TM_9,TM_12,TM_15,TM_18,WS_6,WS_9,WS_12,WS_15,WS_18,SK_6,SK_9,SK_12,SK_15,SK_18,PP_6,PP_9,PP_12,PP_15,PP_18,PR_9,PR_15,PR_21
210104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,10.3,22.6,34.6,39.0,44.8,41.7,10.2,5.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0,9.9,5.8,10.07,-1.0,-2.0,-4.0,-5.0,-6.0,6.1,3.3,2.7,2.1,2.8,4.0,4.0,4.0,4.0,4.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0
210105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,7.4,31.9,34.1,11.5,11.2,23.9,9.8,7.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,9.9,3.0,7.74,0.0,-2.0,-2.0,-2.0,-5.0,2.4,1.1,2.5,6.0,6.6,4.0,4.0,4.0,4.0,4.0,30.0,30.0,30.0,60.0,80.0,0.0,1.0,5.0
210106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.8,19.6,40.9,36.9,44.0,42.1,33.2,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,6.9,10.95,-7.0,-9.0,-11.0,-11.0,-14.0,6.5,4.3,2.3,2.1,2.9,4.0,4.0,4.0,4.0,4.0,90.0,90.0,90.0,90.0,80.0,5.0,10.0,5.0
210107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.7,0.7,0.7,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,5.16,-7.0,-10.0,-12.0,-13.0,-13.0,3.7,1.3,1.3,1.6,2.2,4.0,1.0,1.0,3.0,4.0,30.0,10.0,10.0,60.0,60.0,0.0,1.0,1.0
210111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,8.2,9.9,20.0,13.8,13.9,17.1,12.1,7.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,5.82,3.0,0.0,-2.0,-3.0,-3.0,2.5,1.4,1.5,1.5,1.4,4.0,4.0,4.0,3.0,3.0,30.0,30.0,30.0,10.0,20.0,0.0,0.0,0.0
210112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.6,7.2,32.6,41.8,37.2,10.9,7.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.3,10.78,10.0,5.0,2.0,2.0,0.0,4.5,1.4,0.9,0.6,1.3,1.0,3.0,4.0,4.0,3.0,0.0,10.0,30.0,30.0,20.0,0.0,0.0,0.0
210113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,8.5,20.5,32.1,37.1,38.7,35.0,28.6,17.3,4.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.1,11.74,11.0,5.0,3.0,4.0,4.0,3.8,2.4,3.8,3.4,2.2,1.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,20.0,30.0,0.0,0.0,0.0
210114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,6.6,22.1,32.5,39.4,41.0,37.5,30.5,19.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.5,12.16,14.0,10.0,5.0,2.0,0.0,6.0,3.8,3.7,4.5,5.0,4.0,4.0,4.0,4.0,4.0,30.0,60.0,30.0,30.0,30.0,1.0,0.0,0.0
210119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,12.9,26.3,37.5,43.4,45.9,44.6,37.9,26.9,10.9,0.0,0.0,0.0,0.0,0.0,0.0,10.1,9.4,14.39,9.0,3.0,1.0,0.0,-1.0,3.1,1.7,2.7,2.4,2.0,1.0,3.0,4.0,3.0,4.0,0.0,20.0,30.0,20.0,30.0,0.0,0.0,0.0
210120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,26.1,37.2,43.2,44.9,41.7,35.7,16.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,10.2,8.8,13.68,11.0,8.0,6.0,6.0,6.0,2.6,2.8,3.5,3.5,0.9,4.0,4.0,4.0,4.0,4.0,30.0,30.0,70.0,70.0,70.0,0.0,10.0,5.0
