,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,DS,SL,SR,TM_6,TM_9,TM_12,TM_15,TM_18,WS_6,WS_9,WS_12,WS_15,WS_18,SK_6,SK_9,SK_12,SK_15,SK_18,PP_6,PP_9,PP_12,PP_15,PP_18,PR_9,PR_15,PR_21
210104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,17.7,24.1,30.0,34.7,31.8,7.2,3.8,1.3,0.0,0.0,0.0,0.0,0.0,0.0,9.9,5.8,10.07,-1.0,-2.0,-4.0,-5.0,-6.0,6.1,3.3,2.7,2.1,2.8,4.0,4.0,4.0,4.0,4.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0
210105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4.4,25.2,24.7,8.3,7.9,15.1,7.0,5.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,9.9,3.0,7.74,0.0,-2.0,-2.0,-2.0,-5.0,2.4,1.1,2.5,6.0,6.6,4.0,4.0,4.0,4.0,4.0,30.0,30.0,30.0,60.0,80.0,0.0,1.0,5.0
210106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,19.3,31.1,19.0,33.4,32.5,24.4,18.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,6.9,10.95,-7.0,-9.0,-11.0,-11.0,-14.0,6.5,4.3,2.3,2.1,2.9,4.0,4.0,4.0,4.0,4.0,90.0,90.0,90.0,90.0,80.0,5.0,10.0,5.0
210107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,5.16,-7.0,-10.0,-12.0,-13.0,-13.0,3.7,1.3,1.3,1.6,2.2,4.0,1.0,1.0,3.0,4.0,30.0,10.0,10.0,60.0,60.0,0.0,1.0,1.0
210110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.5,6.4,12.5,30.3,20.9,22.0,5.5,2.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.2,9.5,0.0,-2.0,-6.0,-7.0,-7.0,1.3,1.0,1.9,1.5,1.1,3.0,3.0,4.0,4.0,4.0,20.0,20.0,30.0,30.0,30.0,0.0,0.0,0.0
210111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.0,6.1,11.4,9.4,8.5,11.2,8.1,4.1,1.3,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,5.82,3.0,0.0,-2.0,-3.0,-3.0,2.5,1.4,1.5,1.5,1.4,4.0,4.0,4.0,3.0,3.0,30.0,30.0,30.0,10.0,20.0,0.0,0.0,0.0
210112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.7,4.0,18.0,31.7,26.5,7.7,6.8,1.6,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.3,10.78,10.0,5.0,2.0,2.0,0.0,4.5,1.4,0.9,0.6,1.3,1.0,3.0,4.0,4.0,3.0,0.0,10.0,30.0,30.0,20.0,0.0,0.0,0.0
210113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6.4,15.9,24.4,28.5,29.5,26.9,22.3,13.9,3.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.1,11.74,11.0,5.0,3.0,4.0,4.0,3.8,2.4,3.8,3.4,2.2,1.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,20.0,30.0,0.0,0.0,0.0
210114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.7,25.6,30.8,31.6,29.0,23.8,15.7,3.9,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.5,12.16,14.0,10.0,5.0,2.0,0.0,6.0,3.8,3.7,4.5,5.0,4.0,4.0,4.0,4.0,4.0,30.0,60.0,30.0,30.0,30.0,1.0,0.0,0.0
210118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,7.8,9.9,6.5,6.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,2.9,5.69,2.0,-3.0,-5.0,-5.0,-6.0,3.5,1.7,1.3,1.5,1.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,9.8,21.8,28.7,33.0,35.2,34.4,29.2,22.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,10.1,9.4,14.39,9.0,3.0,1.0,0.0,-1.0,3.1,1.7,2.7,2.4,2.0,1.0,3.0,4.0,3.0,4.0,0.0,20.0,30.0,20.0,30.0,0.0,0.0,0.0
210120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,9.4,20.4,28.4,32.8,34.2,32.6,28.0,17.1,5.9,0.0,0.0,0.0,0.0,0.0,0.0,10.2,8.8,13.68,11.0,8.0,6.0,6.0,6.0,2.6,2.8,3.5,3.5,0.9,4.0,4.0,4.0,4.0,4.0,30.0,30.0,70.0,70.0,70.0,0.0,10.0,5.0
210121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,7.2,9.0,10.8,5.4,2.7,4.0,1.1,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,2.5,5.47,11.0,10.0,7.0,6.0,6.0,2.3,1.8,1.9,1.8,1.3,4.0,4.0,4.0,4.0,4.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0
210124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,8.9,18.7,26.9,32.3,18.2,19.0,21.4,24.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,10.3,8.4,12.93,13.0,9.0,6.0,4.0,5.0,3.7,1.3,1.5,1.1,2.9,1.0,3.0,4.0,4.0,4.0,0.0,20.0,30.0,30.0,30.0,0.0,0.0,1.0
