,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,DS,SL,SR,TM_6,TM_9,TM_12,TM_15,TM_18,WS_6,WS_9,WS_12,WS_15,WS_18,SK_6,SK_9,SK_12,SK_15,SK_18,PP_6,PP_9,PP_12,PP_15,PP_18,PR_9,PR_15,PR_21
210105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,10.3,48.5,52.5,18.3,16.9,38.4,14.8,11.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,9.9,3.0,7.74,0.0,-2.0,-2.0,-2.0,-5.0,2.4,1.1,2.5,6.0,6.6,4.0,4.0,4.0,4.0,4.0,30.0,30.0,30.0,60.0,80.0,0.0,1.0,5.0
210106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,7.2,31.2,62.7,54.3,66.7,64.3,53.2,34.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,9.9,6.9,10.95,-7.0,-9.0,-11.0,-11.0,-14.0,6.5,4.3,2.3,2.1,2.9,4.0,4.0,4.0,4.0,4.0,90.0,90.0,90.0,90.0,80.0,5.0,10.0,5.0
210107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.3,0.0,0.4,0.1,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,5.16,-7.0,-10.0,-12.0,-13.0,-13.0,3.7,1.3,1.3,1.6,2.2,4.0,1.0,1.0,3.0,4.0,30.0,10.0,10.0,60.0,60.0,0.0,1.0,1.0
210108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.5,2.2,3.0,2.4,0.4,1.9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,8.0,12.15,-3.0,-5.0,-10.0,-12.0,-10.0,4.7,4.9,1.9,1.3,1.5,3.0,4.0,1.0,1.0,1.0,20.0,30.0,10.0,10.0,0.0,0.0,0.0,0.0
210111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,10.7,12.8,27.1,18.6,18.8,23.3,17.0,10.9,2.6,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,5.82,3.0,0.0,-2.0,-3.0,-3.0,2.5,1.4,1.5,1.5,1.4,4.0,4.0,4.0,3.0,3.0,30.0,30.0,30.0,10.0,20.0,0.0,0.0,0.0
210112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.9,9.5,52.9,62.2,57.0,16.2,11.6,3.4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.3,10.78,10.0,5.0,2.0,2.0,0.0,4.5,1.4,0.9,0.6,1.3,1.0,3.0,4.0,4.0,3.0,0.0,10.0,30.0,30.0,20.0,0.0,0.0,0.0
210113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,13.8,32.3,49.7,56.7,59.1,53.8,45.5,26.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.1,11.74,11.0,5.0,3.0,4.0,4.0,3.8,2.4,3.8,3.4,2.2,1.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,20.0,30.0,0.0,0.0,0.0
210114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,8.7,35.0,50.7,59.5,61.7,58.7,48.3,30.3,6.3,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.5,12.16,14.0,10.0,5.0,2.0,0.0,6.0,3.8,3.7,4.5,5.0,4.0,4.0,4.0,4.0,4.0,30.0,60.0,30.0,30.0,30.0,1.0,0.0,0.0
210115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,19.4,26.6,70.6,34.6,16.6,11.5,11.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,10.1,2.2,7.46,0.0,-1.0,-3.0,-3.0,-4.0,6.5,4.2,4.1,3.8,2.7,3.0,4.0,4.0,4.0,4.0,20.0,30.0,30.0,30.0,60.0,0.0,0.0,1.0
210119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,19.8,42.3,56.9,64.2,69.0,67.0,59.0,43.6,14.3,0.0,0.0,0.0,0.0,0.0,0.0,10.1,9.4,14.39,9.0,3.0,1.0,0.0,-1.0,3.1,1.7,2.7,2.4,2.0,1.0,3.0,4.0,3.0,4.0,0.0,20.0,30.0,20.0,30.0,0.0,0.0,0.0
210120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,19.1,41.7,57.3,65.1,68.8,63.8,56.6,25.7,8.8,0.0,0.0,0.0,0.0,0.0,0.0,10.2,8.8,13.68,11.0,8.0,6.0,6.0,6.0,2.6,2.8,3.5,3.5,0.9,4.0,4.0,4.0,4.0,4.0,30.0,30.0,70.0,70.0,70.0,0.0,10.0,5.0
210121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,20.1,23.4,19.3,7.4,5.6,8.5,1.3,4.9,0.8,0.0,0.0,0.0,0.0,0.0,0.0,10.2,2.5,5.47,11.0,10.0,7.0,6.0,6.0,2.3,1.8,1.9,1.8,1.3,4.0,4.0,4.0,4.0,4.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0
210122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,7.9,5.5,11.5,26.0,10.6,8.6,6.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,4.14,12.0,10.0,8.0,7.0,6.0,2.5,2.3,1.8,1.9,2.1,4.0,4.0,4.0,4.0,4.0,80.0,80.0,30.0,30.0,30.0,5.0,0.0,0.0
210125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.7,38.2,53.8,56.0,67.3,64.9,57.3,40.5,14.3,0.0,0.0,0.0,0.0,0.0,0.0,10.3,9.2,13.75,9.0,8.0,5.0,3.0,1.0,4.9,4.4,4.4,4.3,3.8,4.0,4.0,4.0,4.0,3.0,60.0,30.0,30.0,30.0,20.0,1.0,0.0,0.0
210126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1,6.9,6.7,6.8,25.5,14.8,6.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,10.3,0.1,3.79,8.0,4.0,1.0,-1.0,-2.0,5.0,2.3,1.4,1.2,0.9,1.0,3.0,3.0,3.0,3.0,10.0,10.0,20.0,20.0,20.0,0.0,0.0,0.0
210127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,19.6,43.7,58.8,67.7,69.9,67.3,50.8,32.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,7.9,14.25,3.0,-1.0,-3.0,-4.0,-4.0,10.2,9.2,9.1,9.0,9.0,4.0,4.0,4.0,4.0,4.0,70.0,60.0,60.0,60.0,70.0,1.0,5.0,1.0
210129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.1,7.1,29.4,60.3,13.7,69.9,61.9,46.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,9.0,15.34,9.0,5.0,0.0,-2.0,-2.0,5.4,1.4,0.8,1.2,1.7,4.0,4.0,3.0,3.0,3.0,30.0,30.0,20.0,20.0,20.0,0.0,0.0,0.0
210202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,22.5,47.0,61.3,71.4,74.2,72.9,66.4,52.3,21.5,0.0,0.0,0.0,0.0,0.0,0.0,10.5,9.6,16.45,5.0,2.0,1.0,2.0,4.0,3.2,1.1,2.4,2.6,4.1,1.0,4.0,4.0,4.0,4.0,0.0,30.0,30.0,30.0,80.0,0.0,0.0,5.0
210203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,11.5,46.5,62.1,68.8,72.0,69.5,60.9,41.8,11.4,0.0,0.0,0.0,0.0,0.0,0.0,10.6,8.9,16.03,3.0,0.0,-4.0,-4.0,-5.0,4.8,1.8,1.1,0.6,0.9,1.0,1.0,4.0,3.0,1.0,0.0,10.0,30.0,20.0,0.0,0.0,0.0,0.0
210204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.3,39.1,61.6,70.8,75.0,72.4,64.2,52.0,25.1,0.1,0.0,0.0,0.0,0.0,0.0,10.6,9.9,16.67,8.0,5.0,3.0,2.0,0.0,3.8,1.4,2.9,0.9,0.9,3.0,4.0,4.0,4.0,1.0,20.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0
210205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,17.1,45.7,50.3,37.6,21.9,31.5,27.6,25.7,8.3,0.0,0.0,0.0,0.0,0.0,0.0,10.6,3.8,11.02,12.0,9.0,6.0,5.0,3.0,4.2,2.0,2.8,3.1,2.3,3.0,1.0,1.0,1.0,3.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
210208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,23.1,45.5,60.8,70.1,74.5,73.6,66.8,54.0,29.6,0.4,0.0,0.0,0.0,0.0,0.0,10.7,9.8,17.29,6.0,3.0,-1.0,-3.0,-3.0,4.0,1.1,0.4,1.2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,24.0,45.7,60.5,68.7,72.7,73.5,64.5,53.0,25.2,0.6,0.0,0.0,0.0,0.0,0.0,10.7,9.9,17.32,9.0,6.0,3.0,0.0,-1.0,3.6,1.0,0.7,1.2,1.4,3.0,3.0,3.0,1.0,3.0,20.0,20.0,10.0,0.0,10.0,0.0,0.0,0.0
210210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,21.1,43.2,57.4,64.2,67.8,66.3,59.2,44.8,15.4,0.2,0.0,0.0,0.0,0.0,0.0,10.8,9.2,15.93,12.0,9.0,5.0,2.0,2.0,1.5,0.4,1.2,1.2,1.5,3.0,3.0,3.0,3.0,3.0,10.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0
210215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,18.2,16.0,23.5,12.4,16.6,15.9,4.2,0.0,0.0,0.0,0.0,0.0,0.0,10.9,2.8,7.26,6.0,0.0,-2.0,-3.0,-4.0,6.8,5.8,2.9,3.5,3.8,4.0,4.0,3.0,4.0,4.0,70.0,60.0,20.0,30.0,60.0,5.0,0.0,1.0
