,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
210104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,104.2,230.60000000000002,355.8,421.6,486.3999999999999,447.8,111.39999999999999,59.699999999999996,14.3,0.0,0.0,0.0,0.0,0.0,0.0
210105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,69.4,346.90000000000003,373.9,127.19999999999999,121.10000000000001,282.5,107.30000000000001,79.0,15.400000000000002,0.0,0.0,0.0,0.0,0.0,0.0
210106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,48.2,226.0,465.7,369.5,513.1,487.7,361.09999999999997,232.60000000000002,7.4,0.0,0.0,0.0,0.0,0.0,0.0
210107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7999999999999999,0.7,1.2,2.1,2.1,2.9,1.6,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0
210108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.1,5.1,15.8,22.900000000000006,16.5,4.7,17.1,9.200000000000001,0.7999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
210111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,62.199999999999996,78.1,159.4,107.90000000000002,110.19999999999999,139.6,99.19999999999999,61.199999999999996,12.4,0.0,0.0,0.0,0.0,0.0,0.0
210112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.9000000000000001,23.999999999999996,55.900000000000006,271.70000000000005,396.29999999999995,371.1,103.2,74.6,21.300000000000004,0.0,0.0,0.0,0.0,0.0,0.0
210113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,87.10000000000001,215.6,346.69999999999993,418.1,448.30000000000007,413.0,335.9,187.6,43.0,0.0,0.0,0.0,0.0,0.0,0.0
210114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,61.699999999999996,252.89999999999998,389.2,481.2,502.1,455.6,360.20000000000005,210.79999999999998,45.1,0.0,0.0,0.0,0.0,0.0,0.0
210115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,61.900000000000006,156.30000000000004,200.89999999999998,428.79999999999995,249.8,127.3,90.0,83.9,3.2,0.0,0.0,0.0,0.0,0.0,0.0
210118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.9999999999999998,2.9,87.89999999999999,139.4,86.79999999999998,187.10000000000002,62.9,0.1,0.0,0.0,0.0,0.0,0.0
210119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6000000000000005,127.60000000000001,301.3,458.4,539.8,571.4999999999999,551.5,455.5999999999999,259.70000000000005,87.80000000000001,0.1,0.0,0.0,0.0,0.0,0.0
