,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
210101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,3.2,4.0,8.2,19.5,21.8,11.0,15.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0
210102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,12.2,23.3,35.4,38.0,37.7,32.3,21.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0
210103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,9.9,21.2,19.7,37.7,32.8,29.1,8.5,3.9,0.7,0.0,0.0,0.0,0.0,0.0,0.0
210109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,3.6,5.6,8.0,17.6,29.6,15.9,21.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0
210110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,4.4,10.9,33.6,42.6,24.6,43.3,7.9,4.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
210116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.6,8.0,11.2,45.6,14.1,9.8,7.6,8.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0
210117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,11.9,26.5,38.1,44.5,47.7,12.9,38.8,27.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0
210123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.9,7.9,6.2,10.9,7.9,5.8,4.0,0.9,2.1,0.0,0.0,0.0,0.0,0.0,0.0
210124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,16.0,35.3,42.5,26.8,34.9,26.9,26.5,8.9,0.5,0.0,0.0,0.0,0.0,0.0
210130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,5.8,22.4,31.5,12.2,35.6,21.2,8.3,21.9,2.8,0.5,0.0,0.0,0.0,0.0,0.0
210206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,5.0,8.3,9.2,10.2,15.0,17.6,11.3,21.8,7.3,0.5,0.0,0.0,0.0,0.0,0.0
210207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,9.6,22.1,32.1,40.3,39.5,42.4,32.9,25.7,7.7,0.6,0.0,0.0,0.0,0.0,0.0
210211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,15.9,24.4,28.7,25.8,22.0,15.0,10.6,3.5,0.0,0.0,0.0,0.0,0.0,0.0
210212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,28.6,34.7,44.6,47.7,46.9,38.6,28.7,15.4,0.0,0.0,0.0,0.0,0.0,0.0
210213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,14.7,28.0,38.3,44.4,45.5,43.8,39.2,29.2,14.6,0.0,0.0,0.0,0.0,0.0,0.0
210214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,5.4,9.1,12.1,20.6,16.1,23.8,12.2,7.5,3.0,0.6,0.0,0.0,0.0,0.0,0.0
210220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,13.7,25.5,35.4,41.2,43.3,42.1,37.5,27.0,12.9,0.8,0.0,0.0,0.0,0.0,0.0
210221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,20.1,30.8,38.8,43.6,46.4,45.7,40.9,31.2,17.0,2.0,0.0,0.0,0.0,0.0,0.0
210227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,11.5,23.7,28.1,39.4,52.8,51.1,43.4,17.1,10.9,0.9,0.0,0.0,0.0,0.0,0.0
210306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,13.1,19.7,34.7,30.9,26.9,34.0,38.0,27.5,13.4,2.1,0.0,0.0,0.0,0.0,0.0
210307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,9.8,17.8,23.7,32.2,44.1,35.6,19.5,26.8,9.2,1.0,0.0,0.0,0.0,0.0,0.0
210313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,7.9,21.2,33.4,42.1,48.1,22.1,35.1,41.6,20.2,17.3,4.2,0.0,0.0,0.0,0.0,0.0
210314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,7.8,17.8,32.0,41.8,49.1,55.5,52.1,45.7,26.7,16.6,3.2,0.0,0.0,0.0,0.0,0.0
210320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,4.4,3.7,4.8,6.2,3.8,3.8,6.6,4.9,6.5,0.6,0.0,0.0,0.0,0.0,0.0
210321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,7.7,10.2,24.8,38.5,49.1,57.0,55.5,52.1,41.8,10.4,2.7,0.0,0.0,0.0,0.0,0.0
210327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,7.5,5.8,8.8,7.1,1.0,1.0,7.1,4.0,0.8,0.7,0.6,0.0,0.0,0.0,0.0,0.0
210328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.4,9.7,18.5,30.9,25.9,45.8,36.5,21.8,6.0,0.5,0.0,0.0,0.0,0.0
210403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,2.7,3.3,4.8,6.8,10.2,2.7,0.9,0.9,0.8,0.8,0.6,0.0,0.0,0.0,0.0,0.0
210404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,12.0,5.3,6.6,9.1,7.1,3.9,10.6,5.3,3.1,0.8,0.0,0.0,0.0,0.0,0.0
210410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,12.8,26.0,37.2,44.7,52.5,49.2,47.9,39.5,35.1,21.2,7.4,0.5,0.0,0.0,0.0,0.0
210411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,11.2,26.3,39.1,47.9,53.5,53.5,48.2,45.7,36.7,23.1,9.4,0.5,0.0,0.0,0.0,0.0
210417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,12.4,27.9,39.5,46.6,16.7,53.7,55.8,52.1,40.8,26.1,11.0,0.6,0.0,0.0,0.0,0.0
210418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,14.9,30.1,42.6,50.3,56.0,57.3,55.1,49.7,39.5,25.1,10.3,0.0,0.0,0.0,0.0,0.0
210424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,16.8,29.9,29.2,48.6,50.4,52.8,55.3,49.0,28.5,13.1,3.5,0.7,0.0,0.0,0.0,0.0
210425,0.0,0.0,0.0,0.0,0.0,0.0,0.6,4.5,15.1,28.0,38.4,46.2,50.6,51.6,49.5,18.0,36.1,6.4,3.0,0.6,0.0,0.0,0.0,0.0
210501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.9,7.7,17.7,3.8,13.2,19.4,11.4,57.3,51.0,10.6,11.2,0.0,0.0,0.0,0.0,0.0
210502,0.0,0.0,0.0,0.0,0.0,0.0,0.7,4.7,1.0,5.0,48.7,19.1,21.0,59.1,57.6,30.6,44.1,31.3,12.1,0.8,0.0,0.0,0.0,0.0
210505,0.0,0.0,0.0,0.0,0.0,0.0,0.7,5.7,18.5,30.2,40.9,49.3,54.7,55.4,54.0,48.9,40.2,23.9,4.7,1.0,0.0,0.0,0.0,0.0
210508,0.0,0.0,0.0,0.0,0.0,0.0,0.8,6.7,17.3,30.3,39.3,47.7,53.1,53.5,46.4,16.8,35.8,11.8,3.7,0.7,0.0,0.0,0.0,0.0
210509,0.0,0.0,0.0,0.0,0.0,0.0,0.9,6.3,17.2,30.6,39.8,47.3,50.8,53.4,51.0,45.8,37.6,24.3,6.9,0.8,0.0,0.0,0.0,0.0
210515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,17.2,4.4,0.9,0.0,0.0,0.0,0.0,0.0
210516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,11.3,1.8,0.9,4.1,13.2,3.9,7.5,3.2,0.9,7.8,0.9,0.0,0.0,0.0,0.0,0.0
210522,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,17.4,29.7,40.1,47.7,52.8,54.1,52.4,46.2,37.0,25.6,12.2,1.0,0.0,0.0,0.0,0.0
210523,0.0,0.0,0.0,0.0,0.0,0.0,1.1,7.4,23.0,38.6,26.3,40.4,59.2,50.9,43.1,35.5,19.2,17.6,7.0,0.6,0.0,0.0,0.0,0.0
210529,0.0,0.0,0.0,0.0,0.0,0.0,1.1,6.5,18.1,30.3,43.0,51.3,53.8,52.9,51.9,46.2,37.6,25.4,12.5,2.8,0.0,0.0,0.0,0.0
210530,0.0,0.0,0.0,0.0,0.0,0.0,0.9,6.9,17.8,28.9,38.7,45.8,49.4,51.3,47.0,44.3,36.2,24.2,12.3,2.0,0.0,0.0,0.0,0.0
210605,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.7,7.3,16.0,20.3,34.1,28.5,19.8,50.0,43.6,35.3,25.0,12.0,3.5,0.0,0.0,0.0,0.0
210606,0.0,0.0,0.0,0.0,0.0,0.0,0.9,6.3,16.1,27.7,12.4,50.7,53.3,52.4,48.3,42.9,35.4,23.7,6.3,2.4,0.0,0.0,0.0,0.0
210612,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.7,17.6,16.5,16.8,49.0,27.4,45.4,21.3,31.1,38.3,25.7,12.5,3.0,0.0,0.0,0.0,0.0
210613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,11.8,15.8,36.2,45.1,47.4,50.5,48.5,43.4,19.6,23.8,13.1,2.6,0.0,0.0,0.0,0.0
210619,0.0,0.0,0.0,0.0,0.0,0.0,0.9,6.8,14.6,15.5,19.3,26.6,53.3,52.3,53.0,45.9,37.6,26.6,14.6,2.9,0.5,0.0,0.0,0.0
210620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,6.4,24.5,39.7,37.1,44.4,50.5,54.3,38.4,42.5,17.9,18.2,2.8,0.0,0.0,0.0,0.0
210626,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8,10.5,27.3,35.8,44.6,50.5,12.0,40.6,14.7,9.1,6.3,1.0,0.5,0.0,0.0,0.0,0.0
210627,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.3,16.2,27.8,37.6,45.0,50.5,51.9,49.5,46.2,7.0,20.0,6.2,0.8,0.0,0.0,0.0,0.0
210703,0.0,0.0,0.0,0.0,0.0,0.0,1.2,6.0,10.2,9.6,8.1,13.8,11.1,6.5,5.6,2.6,0.8,0.6,0.5,0.5,0.0,0.0,0.0,0.0
210704,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.9,0.9,9.1,8.0,8.3,17.6,21.0,9.5,11.9,8.7,8.2,5.1,1.0,0.0,0.0,0.0,0.0
