,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,TM_6,TM_9,TM_12,TM_15,TM_18,PR_9,PR_15,PR_21,PP_6,PP_9,PP_12,PP_15,PP_18,HM_6,HM_9,HM_12,HM_15,HM_18,WS_6,WS_9,WS_12,WS_15,WS_18,SK_6,SK_9,SK_12,SK_5,SK_18
210104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,104.2,230.6,355.8,421.6,486.3999999999999,447.8,111.4,59.7,14.3,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-4.0,-5.0,-6.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,55.0,60.0,65.0,65.0,70.0,6.1,3.3,2.7,2.1,2.8,4.0,4.0,4.0,4.0,4.0
210105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,69.4,346.90000000000003,373.9,127.2,121.1,282.5,107.3,79.0,15.400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-5.0,0.0,1.0,5.0,30.0,30.0,30.0,60.0,80.0,60.0,70.0,75.0,80.0,80.0,2.4,1.1,2.5,6.0,6.6,4.0,4.0,4.0,4.0,4.0
210106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,48.2,226.0,465.7,369.5,513.1,487.7,361.1,232.6,7.4,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-9.0,-11.0,-11.0,-14.0,5.0,10.0,5.0,90.0,90.0,90.0,90.0,80.0,65.0,75.0,75.0,80.0,85.0,6.5,4.3,2.3,2.1,2.9,4.0,4.0,4.0,4.0,4.0
210107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7999999999999999,0.7,1.2,2.1,2.1,2.9,1.6,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-10.0,-12.0,-13.0,-13.0,0.0,1.0,1.0,30.0,10.0,10.0,60.0,60.0,65.0,70.0,75.0,80.0,85.0,3.7,1.3,1.3,1.6,2.2,4.0,1.0,1.0,3.0,4.0
210108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.1,5.1,15.8,22.90000000000001,16.5,4.7,17.1,9.2,0.7999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-5.0,-10.0,-12.0,-10.0,0.0,0.0,0.0,20.0,30.0,10.0,10.0,0.0,65.0,75.0,85.0,90.0,95.0,4.7,4.9,1.9,1.3,1.5,3.0,4.0,1.0,1.0,1.0
210111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,62.2,78.1,159.4,107.90000000000002,110.2,139.6,99.2,61.2,12.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-2.0,-3.0,-3.0,0.0,0.0,0.0,30.0,30.0,30.0,10.0,20.0,55.0,80.0,90.0,85.0,85.0,2.5,1.4,1.5,1.5,1.4,4.0,4.0,4.0,3.0,3.0
210112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.9,24.0,55.900000000000006,271.70000000000005,396.3,371.1,103.2,74.6,21.300000000000004,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,30.0,20.0,55.0,80.0,95.0,95.0,95.0,4.5,1.4,0.9,0.6,1.3,1.0,3.0,4.0,4.0,3.0
210113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,87.10000000000001,215.6,346.69999999999993,418.1,448.30000000000007,413.0,335.9,187.6,43.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,35.0,60.0,75.0,85.0,95.0,3.8,2.4,3.8,3.4,2.2,1.0,1.0,1.0,3.0,4.0
210114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,61.7,252.9,389.2,481.2,502.1,455.6,360.20000000000005,210.8,45.1,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,5.0,2.0,0.0,1.0,0.0,0.0,30.0,60.0,30.0,30.0,30.0,60.0,85.0,90.0,85.0,80.0,6.0,3.8,3.7,4.5,5.0,4.0,4.0,4.0,4.0,4.0
210115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,61.900000000000006,156.30000000000004,200.9,428.8,249.8,127.3,90.0,83.9,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-3.0,-3.0,-4.0,0.0,0.0,1.0,20.0,30.0,30.0,30.0,60.0,50.0,60.0,65.0,70.0,80.0,6.5,4.2,4.1,3.8,2.7,3.0,4.0,4.0,4.0,4.0
210119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6000000000000005,127.6,301.3,458.4,539.8,571.4999999999999,551.5,455.5999999999999,259.70000000000005,87.80000000000001,0.1,0.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,20.0,30.0,20.0,30.0,45.0,75.0,90.0,95.0,95.0,3.1,1.7,2.7,2.4,2.0,1.0,3.0,4.0,3.0,4.0
210120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,124.3,294.40000000000003,456.7,536.5,555.4,511.7,428.7000000000001,194.4,62.49999999999999,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,6.0,6.0,6.0,0.0,10.0,5.0,30.0,30.0,70.0,70.0,70.0,65.0,80.0,90.0,95.0,100.0,2.6,2.8,3.5,3.5,0.9,4.0,4.0,4.0,4.0,4.0
210121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6000000000000005,124.6,181.3,154.0,58.6,41.10000000000001,64.4,9.9,37.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,7.0,6.0,6.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,75.0,85.0,95.0,100.0,100.0,2.3,1.8,1.9,1.8,1.3,4.0,4.0,4.0,4.0,4.0
210122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,9.9,57.7,38.6,89.50000000000001,203.50000000000003,83.3,66.1,47.1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,8.0,7.0,6.0,5.0,0.0,0.0,80.0,80.0,30.0,30.0,30.0,70.0,80.0,85.0,85.0,85.0,2.5,2.3,1.8,1.9,2.1,4.0,4.0,4.0,4.0,4.0
210125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,123.4,277.0,428.5,445.6,511.6000000000001,524.8000000000001,433.6,288.6,95.5,0.1,0.0,0.0,0.0,0.0,0.0,9.0,8.0,5.0,3.0,1.0,1.0,0.0,0.0,60.0,30.0,30.0,30.0,20.0,70.0,80.0,85.0,85.0,90.0,4.9,4.4,4.4,4.3,3.8,4.0,4.0,4.0,4.0,3.0
210126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,19.9,52.900000000000006,51.70000000000001,52.5,203.4,117.7,51.3,1.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,1.0,-1.0,-2.0,0.0,0.0,0.0,10.0,10.0,20.0,20.0,20.0,25.0,35.0,50.0,65.0,70.0,5.0,2.3,1.4,1.2,0.9,1.0,3.0,3.0,3.0,3.0
210127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.999999999999999,135.7,314.5,483.0,569.3000000000001,585.8000000000001,555.6,388.2000000000001,238.8,50.2,0.1,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,-3.0,-4.0,-4.0,1.0,5.0,1.0,70.0,60.0,60.0,60.0,70.0,60.0,60.0,60.0,60.0,60.0,10.2,9.2,9.1,9.0,9.0,4.0,4.0,4.0,4.0,4.0
210129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,29.4,89.2,223.8,420.6,405.7,550.8000000000001,486.6,326.0,111.2,0.6,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,-2.0,-2.0,0.0,0.0,0.0,30.0,30.0,20.0,20.0,20.0,55.0,80.0,90.0,90.0,90.0,5.4,1.4,0.8,1.2,1.7,4.0,4.0,3.0,3.0,3.0
210202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,180.8,361.0,519.6,612.0,642.7000000000002,617.4,528.9000000000001,348.90000000000003,129.50000000000003,0.7,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,2.0,4.0,0.0,0.0,5.0,0.0,30.0,30.0,30.0,80.0,40.0,55.0,70.0,70.0,90.0,3.2,1.1,2.4,2.6,4.1,1.0,4.0,4.0,4.0,4.0
210203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,113.2,347.99999999999994,505.0,585.8000000000001,610.9,585.1000000000001,483.80000000000007,298.70000000000005,79.2,0.7,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-4.0,-4.0,-5.0,0.0,0.0,0.0,0.0,10.0,30.0,20.0,0.0,35.0,50.0,75.0,75.0,75.0,4.8,1.8,1.1,0.6,0.9,1.0,1.0,4.0,3.0,1.0
210204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,90.5,278.90000000000003,518.2,613.2,639.4,615.9,531.2,370.1,147.8,2.1,0.0,0.0,0.0,0.0,0.0,8.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,20.0,30.0,30.0,30.0,0.0,35.0,55.0,70.0,85.0,95.0,3.8,1.4,2.9,0.9,0.9,3.0,4.0,4.0,4.0,1.0
210205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,132.9,360.0,388.4,336.1,317.50000000000006,259.7,217.5,190.0,61.4,0.6,0.0,0.0,0.0,0.0,0.0,12.0,9.0,6.0,5.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,60.0,80.0,95.0,95.0,100.0,4.2,2.0,2.8,3.1,2.3,3.0,1.0,1.0,1.0,3.0
