TM_6,TM_9,TM_12,TM_15,TM_18,WS_6,WS_9,WS_12,WS_15,WS_18,SK_6,SK_9,SK_12,SK_5,SK_18,PP_6,PP_9,PP_12,PP_15,PP_18,PR_9,PR_15,PR_21
1.0,-2.0,-4.0,-7.0,-6.0,4.1,1.6,2.3,2.4,3.0,3.0,4.0,3.0,3.0,4.0,20.0,30.0,20.0,20.0,30.0,0.0,0.0,0.0
2.0,-1.0,-4.0,-5.0,-6.0,3.4,1.5,1.0,1.3,1.5,3.0,3.0,3.0,3.0,3.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0
4.0,1.0,-1.0,-1.0,0.0,0.4,0.9,1.6,2.3,0.5,1.0,1.0,1.0,3.0,4.0,0.0,0.0,10.0,20.0,30.0,0.0,0.0,1.0
-1.0,-2.0,-4.0,-5.0,-6.0,6.1,3.3,2.7,2.1,2.8,4.0,4.0,4.0,4.0,4.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0
0.0,-2.0,-2.0,-2.0,-5.0,2.4,1.1,2.5,6.0,6.6,4.0,4.0,4.0,4.0,4.0,30.0,30.0,30.0,60.0,80.0,0.0,1.0,5.0
-7.0,-9.0,-11.0,-11.0,-14.0,6.5,4.3,2.3,2.1,2.9,4.0,4.0,4.0,4.0,4.0,90.0,90.0,90.0,90.0,80.0,5.0,10.0,5.0
-7.0,-10.0,-12.0,-13.0,-13.0,3.7,1.3,1.3,1.6,2.2,4.0,1.0,1.0,3.0,4.0,30.0,10.0,10.0,60.0,60.0,0.0,1.0,1.0
-3.0,-5.0,-10.0,-12.0,-10.0,4.7,4.9,1.9,1.3,1.5,3.0,4.0,1.0,1.0,1.0,20.0,30.0,10.0,10.0,0.0,0.0,0.0,0.0
0.0,-2.0,-4.0,-4.0,-5.0,5.2,2.2,1.1,1.9,2.2,4.0,4.0,4.0,4.0,4.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0
0.0,-2.0,-6.0,-7.0,-7.0,1.3,1.0,1.9,1.5,1.1,3.0,3.0,4.0,4.0,4.0,20.0,20.0,30.0,30.0,30.0,0.0,0.0,0.0
3.0,0.0,-2.0,-3.0,-3.0,2.5,1.4,1.5,1.5,1.4,4.0,4.0,4.0,3.0,3.0,30.0,30.0,30.0,10.0,20.0,0.0,0.0,0.0
10.0,5.0,2.0,2.0,0.0,4.5,1.4,0.9,0.6,1.3,1.0,3.0,4.0,4.0,3.0,0.0,10.0,30.0,30.0,20.0,0.0,0.0,0.0
11.0,5.0,3.0,4.0,4.0,3.8,2.4,3.8,3.4,2.2,1.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,20.0,30.0,0.0,0.0,0.0
14.0,10.0,5.0,2.0,0.0,6.0,3.8,3.7,4.5,5.0,4.0,4.0,4.0,4.0,4.0,30.0,60.0,30.0,30.0,30.0,1.0,0.0,0.0
0.0,-1.0,-3.0,-3.0,-4.0,6.5,4.2,4.1,3.8,2.7,3.0,4.0,4.0,4.0,4.0,20.0,30.0,30.0,30.0,60.0,0.0,0.0,1.0
1.0,0.0,-2.0,-3.0,-3.0,4.0,2.0,1.1,1.0,0.9,4.0,4.0,3.0,4.0,4.0,30.0,30.0,20.0,30.0,30.0,0.0,0.0,1.0
5.0,2.0,-2.0,-4.0,-6.0,6.8,5.5,5.5,4.4,3.5,3.0,1.0,1.0,1.0,3.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
